elapsed_s,step_index,pwm_percent,loop_period_us,late_us,raw_rpm,filtered_rpm,target_rpm,pwm,error_rpm,intended_mode,intended_fifo,fifo_active,condition
0.010079,0,0,10078.623000,78.623000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.020069,0,0,9990.325000,68.948000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.030067,0,0,9998.215000,67.163000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.040073,0,0,10005.733000,72.896000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.050292,0,0,10219.087000,291.983000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.060060,0,0,9767.694000,59.677000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.070059,0,0,9999.548000,59.225000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.080059,0,0,9999.604000,58.829000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.090062,0,0,10002.974000,61.803000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.100068,0,0,10006.085000,67.888000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.110062,0,0,9994.251000,62.139000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.120097,0,0,10034.419000,96.558000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.130063,0,0,9966.881000,63.439000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.140065,0,0,10001.122000,64.561000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.150060,0,0,9994.992000,59.553000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.160059,0,0,9999.270000,58.823000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.170059,0,0,10000.437000,59.260000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.180059,0,0,10000.178000,59.438000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.190069,0,0,10009.548000,68.986000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.200350,0,0,10280.864000,349.850000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.210066,0,0,9716.361000,66.211000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.220062,0,0,9995.307000,61.518000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.230081,0,0,10019.937000,81.455000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.240061,0,0,9979.141000,60.596000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.250061,0,0,9999.937000,60.533000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.260061,0,0,10000.436000,60.969000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.270060,0,0,9998.641000,59.610000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.280060,0,0,10000.326000,59.936000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.290060,0,0,9999.881000,59.817000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.300060,0,0,9999.752000,59.569000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.310079,0,0,10019.603000,79.172000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.320059,0,0,9979.752000,58.924000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.330059,0,0,9999.751000,58.675000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.340062,0,0,10003.640000,62.315000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.350060,0,0,9997.680000,59.995000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.360060,0,0,9999.957000,59.952000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.370060,0,0,9999.902000,59.854000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.380060,0,0,10000.161000,60.015000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.390080,0,0,10020.255000,80.270000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.400058,0,0,9978.142000,58.412000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.410059,0,0,10000.661000,59.073000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.420060,0,0,10001.346000,60.419000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.430060,0,0,9999.939000,60.358000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.440060,0,0,9999.384000,59.742000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.450061,0,0,10001.661000,61.403000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.460059,0,0,9998.022000,59.425000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.470094,0,0,10034.381000,93.806000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.480059,0,0,9965.423000,59.229000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.490060,0,0,10001.097000,60.326000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.500060,0,0,9999.301000,59.627000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.510060,0,0,9999.985000,59.612000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.520060,0,0,10000.338000,59.950000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.530059,0,0,9999.504000,59.454000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.540059,0,0,10000.023000,59.477000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.550064,0,0,10004.023000,63.500000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.560097,0,0,10033.973000,97.473000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.570060,0,0,9962.442000,59.915000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.580059,0,0,9998.837000,58.752000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.590060,0,0,10001.060000,59.812000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.600060,0,0,10000.171000,59.983000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.610059,0,0,9999.041000,59.024000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.620060,0,0,10001.245000,60.269000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.630060,0,0,9999.782000,60.051000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.640098,0,0,10037.604000,97.655000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.650060,0,0,9962.479000,60.134000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.660059,0,0,9998.781000,58.915000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.670059,0,0,10000.375000,59.290000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.680060,0,0,10000.986000,60.276000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.690060,0,0,9999.615000,59.891000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.700060,0,0,9999.689000,59.580000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.710059,0,0,9999.652000,59.232000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.720102,0,0,10043.087000,102.319000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.730060,0,0,9957.514000,59.833000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.740060,0,0,10000.171000,60.004000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.750059,0,0,9999.004000,59.008000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.760060,0,0,10001.060000,60.068000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.770060,0,0,9999.690000,59.758000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.780060,0,0,10000.282000,60.040000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.790060,0,0,9999.930000,59.970000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.800109,0,0,10049.439000,109.409000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.810062,0,0,9952.810000,62.219000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.820872,0,0,10810.005000,872.224000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.830059,0,0,9187.133000,59.357000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.840066,0,0,10006.635000,65.992000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.850064,0,0,9997.966000,63.958000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.860063,0,0,9999.189000,63.147000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.870060,0,0,9997.097000,60.244000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.880060,0,0,9999.430000,59.674000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.890088,0,0,10027.953000,87.627000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.900060,0,0,9971.888000,59.515000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.910059,0,0,9999.375000,58.890000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.920059,0,0,10000.356000,59.246000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.930059,0,0,10000.022000,59.268000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.940036,0,0,9976.723000,35.991000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.950063,0,0,10027.249000,63.240000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.960065,0,0,10001.431000,64.671000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.970074,0,0,10009.635000,74.306000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.980068,0,0,9993.300000,67.606000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
0.990070,0,0,10002.671000,70.277000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
1.000066,0,0,9995.837000,66.114000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
1.010064,0,0,9998.189000,64.303000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
1.020066,0,0,10001.949000,66.252000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
1.030066,0,0,10000.208000,66.460000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
1.040069,0,0,10002.208000,68.668000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
1.050082,0,0,10013.358000,82.026000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
1.060066,0,0,9984.242000,66.268000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
1.070069,0,0,10002.338000,68.606000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
1.080068,0,0,9999.615000,68.221000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
1.090061,0,0,9993.077000,61.298000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
1.100068,0,0,10006.358000,67.656000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
1.110060,0,0,9992.613000,60.269000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
1.120061,0,0,10000.505000,60.774000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
1.130059,0,0,9998.392000,59.166000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
1.140060,0,0,10000.857000,60.023000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
1.150059,0,0,9998.633000,58.656000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
1.160357,0,0,10298.819000,357.475000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
1.170058,0,0,9700.967000,58.442000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
1.180096,0,0,10037.882000,96.324000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
1.190073,0,0,9976.185000,72.509000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
1.200064,0,0,9991.206000,63.715000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
1.210068,0,0,10004.042000,67.757000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
1.220065,0,0,9997.133000,64.890000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
1.230060,0,0,9995.207000,60.097000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
1.240059,0,0,9999.134000,59.231000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
1.250060,0,0,10000.819000,60.050000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
1.260060,0,0,9999.634000,59.684000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
1.270060,0,0,9999.893000,59.577000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
1.280059,0,0,9999.893000,59.470000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
1.290086,0,0,10026.268000,85.738000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
1.300954,0,0,10868.590000,954.328000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
1.310059,0,0,9104.395000,58.723000,0.000000,0.000000,0.000000,0,0.000000,PI,NoFIFO,false,PI_NoFIFO
