elapsed_s,step_index,pwm_percent,loop_period_us,late_us,raw_rpm,filtered_rpm,target_rpm,pwm,error_rpm,intended_mode,intended_fifo,fifo_active,condition
0.010036,0,0,10035.540000,35.540000,0.000000,0.000000,0.000000,0,0.000000,PI,FIFO,true,PI_FIFO
0.020019,0,0,9983.298000,18.838000,0.000000,0.000000,0.000000,0,0.000000,PI,FIFO,true,PI_FIFO
0.030021,0,0,10001.929000,20.767000,0.000000,0.000000,0.000000,0,0.000000,PI,FIFO,true,PI_FIFO
0.040015,0,0,9993.743000,14.510000,0.000000,0.000000,0.000000,0,0.000000,PI,FIFO,true,PI_FIFO
0.050011,0,0,9996.465000,10.975000,0.000000,0.000000,0.000000,0,0.000000,PI,FIFO,true,PI_FIFO
0.060007,0,0,9995.595000,6.570000,0.000000,0.000000,0.000000,0,0.000000,PI,FIFO,true,PI_FIFO
0.070007,0,0,9999.947000,6.517000,0.000000,0.000000,0.000000,0,0.000000,PI,FIFO,true,PI_FIFO
0.080009,0,0,10002.817000,9.334000,0.000000,0.000000,0.000000,0,0.000000,PI,FIFO,true,PI_FIFO
0.090008,0,0,9998.502000,7.836000,0.000000,0.000000,0.000000,0,0.000000,PI,FIFO,true,PI_FIFO
0.100009,0,0,10000.706000,8.542000,0.000000,0.000000,0.000000,0,0.000000,PI,FIFO,true,PI_FIFO
0.110008,0,0,9999.132000,7.674000,0.000000,0.000000,0.000000,0,0.000000,PI,FIFO,true,PI_FIFO
0.120017,0,0,10009.651000,17.325000,0.000000,0.000000,0.000000,0,0.000000,PI,FIFO,true,PI_FIFO
0.130012,0,0,9995.058000,12.383000,0.000000,0.000000,0.000000,0,0.000000,PI,FIFO,true,PI_FIFO
0.140011,0,0,9998.891000,11.274000,0.000000,0.000000,0.000000,0,0.000000,PI,FIFO,true,PI_FIFO
0.150008,0,0,9996.299000,7.573000,0.000000,0.000000,0.000000,0,0.000000,PI,FIFO,true,PI_FIFO
0.160008,0,0,10000.021000,7.594000,0.000000,0.000000,0.000000,0,0.000000,PI,FIFO,true,PI_FIFO
0.170007,0,0,9999.483000,7.077000,0.000000,0.000000,0.000000,0,0.000000,PI,FIFO,true,PI_FIFO
