pwm_percent,step_index,target_rpm,samples,mean_raw_rpm,std_raw_rpm,p05_raw_rpm,p95_raw_rpm,clean_samples,clean_mean_raw_rpm,clean_std_raw_rpm,mean_period_us,std_period_us,p95_late_us,max_late_us,late_cycles,timing_outliers,rise_time_s,settling_time_s,overshoot_percent,steady_state_error_rpm
0,0,0.0,798,0.0,0.0,0.0,0.0,798,0.0,0.0,9999.991669172932,7.618893952358954,36.18965,73.024,798,0,nan,nan,nan,nan
10,1,0.0,800,230.20960790249998,12.679935665050946,218.5469544,249.99034,800,230.20960790249998,12.679935665050946,9999.96624,7.709452555680282,35.156499999999994,67.149,800,0,nan,nan,nan,nan
20,2,0.0,800,494.66719988625005,19.1527743136426,468.0215378,530.82969735,800,494.66719988625005,19.1527743136426,10000.0026125,14.044763155263679,53.8518,155.333,800,0,nan,nan,nan,nan
30,3,0.0,800,750.77039696625,39.98940978719088,687.2023157,799.6557822499994,800,750.77039696625,39.98940978719088,9999.97952,14.37752234498608,58.07474999999998,132.392,800,0,nan,nan,nan,nan
40,4,0.0,800,1014.651341655,44.29919656033697,952.8104877000001,1063.2049215,800,1014.651341655,44.29919656033697,10000.019898749999,7.333271203335902,28.459199999999992,69.417,800,0,nan,nan,nan,nan
50,5,0.0,799,1276.5456853266585,55.92397112958143,1187.257799,1343.7450009,799,1276.5456853266585,55.92397112958143,10000.004030037546,7.37376623257955,29.705899999999957,73.805,799,0,nan,nan,nan,nan
60,6,0.0,799,1537.1098180775969,77.81002511020968,1436.743985,1624.8548521,799,1537.1098180775969,77.81002511020968,10000.003090112641,6.319580805384075,25.721299999999992,66.059,799,0,nan,nan,nan,nan
70,7,0.0,800,1796.16037325,77.6926059730451,1686.68354355,1891.183183,800,1796.16037325,77.6926059730451,9999.96705875,6.394796411867608,24.697599999999998,61.048,800,0,nan,nan,nan,nan
80,8,0.0,799,2053.1181764042553,83.60166738085556,1932.7525259,2156.161597,799,2053.1181764042553,83.60166738085556,10000.003992490614,12.2924432675591,51.70159999999994,144.431,799,0,nan,nan,nan,nan
90,9,0.0,799,2317.192357907384,103.66605070679434,2156.1409427000003,2437.2903932,799,2317.192357907384,103.66605070679434,10000.061574468085,7.198252135669484,31.52449999999998,62.51,799,0,nan,nan,nan,nan
100,10,0.0,799,2491.472847336671,112.61139520593458,2312.2475724,2610.8202907,799,2491.472847336671,112.61139520593458,9999.997526908635,8.044591028199715,34.145399999999995,63.271,799,0,nan,nan,nan,nan
