pwm_percent,step_index,target_rpm,samples,mean_raw_rpm,std_raw_rpm,p05_raw_rpm,p95_raw_rpm,clean_samples,clean_mean_raw_rpm,clean_std_raw_rpm,mean_period_us,std_period_us,p95_late_us,max_late_us,late_cycles,timing_outliers,rise_time_s,settling_time_s,overshoot_percent,steady_state_error_rpm
0,0,0.0,798,0.0,0.0,0.0,0.0,798,0.0,0.0,9999.953467418545,11.442365630318017,46.33944999999999,152.961,798,0,nan,nan,nan,nan
10,1,250.0,799,250.02407419274093,14.55302014087981,218.738604,281.19903539999996,799,250.02407419274093,14.55302014087981,10000.005997496872,3.6862271972666623,24.131999999999945,48.199,799,0,0.16000499999999995,4.799987,4.167865600000004,2.6963103250000007
20,2,500.0,800,500.0363141975,21.003461905730006,468.5445828,531.22822,800,500.0363141975,21.003461905730006,9999.9799925,7.16770759833384,23.446099999999984,83.941,800,0,0.18999700000000175,0.23999700000000246,2.2605722000000017,3.7700190300000007
30,3,750.0,800,749.9483270337499,30.681659153506644,687.3853643,781.6655279500001,800,749.9483270337499,30.681659153506644,10000.00109625,5.769623901472366,26.63244999999999,68.325,800,0,0.19000000000000128,0.25,2.538675066666671,5.340273219999999
40,4,1000.0,799,1000.0434557121401,57.255850956529564,906.2370678000001,1062.546891,799,1000.0434557121401,57.255850956529564,10000.057192740926,5.605227022863753,27.590699999999988,66.509,799,0,0.21000499999999533,9.5,9.277290300000004,12.645357005000001
50,5,1250.0,799,1251.828487485607,79.71020934587261,1155.892136,1343.8829925,799,1251.828487485607,79.71020934587261,10000.005912390488,2.937771196219582,18.904599999999984,39.111,799,0,0.22002200000000016,nan,10.631986400000006,23.36866580000001
60,6,1500.0,799,1499.9965992715895,87.48736243465184,1374.950557,1624.839953,799,1499.9965992715895,87.48736243465184,10000.002003754693,3.780851710644137,24.779699999999984,42.487,799,0,0.2299989999999994,9.619998999999993,8.939763066666668,23.985094464999996
70,7,1750.0,800,1750.5836365875,95.4922862685913,1593.6901012,1874.87733585,800,1750.5836365875,95.4922862685913,9999.9991625,3.1142247957866203,19.150299999999998,50.936,800,0,0.22999799999999482,9.939998000000003,7.085872000000004,27.064842175000003
80,8,2000.0,800,2000.17776399125,108.30259211121351,1843.4544201,2139.693057,800,2000.17776399125,108.30259211121351,9999.996805,9.512345907177533,52.3426,99.102,800,0,0.0,6.580002999999991,12.605799249999997,16.921656600000002
90,9,2250.0,800,2249.75968775625,115.97362633229318,2093.25430725,2390.74275595,800,2249.75968775625,115.97362633229318,9999.9998375,3.720757520889432,25.393549999999998,44.039,800,0,0.2399989999999974,8.970016999999999,9.713604622222212,24.77211185000001
100,10,2500.0,799,2484.428141918648,130.48266080909508,2312.1843178999998,2624.634388,799,2484.428141918648,130.48266080909508,10000.001429286609,4.684305092293627,26.174699999999998,84.316,799,0,0.010007000000001653,9.090000000000003,11.655385719999995,31.961755874999994
