pwm_percent,step_index,target_rpm,samples,mean_raw_rpm,std_raw_rpm,p05_raw_rpm,p95_raw_rpm,clean_samples,clean_mean_raw_rpm,clean_std_raw_rpm,mean_period_us,std_period_us,rms_period_us,p95_abs_jitter_us,p99_abs_jitter_us,cv_period,p95_late_us,max_late_us,late_cycles,timing_outliers,intended_mode,intended_fifo,fifo_active,condition,rise_time_s,settling_time_s,overshoot_percent,steady_state_error_rpm
0,0,0.0,798,0.0,0.0,0.0,0.0,798,0.0,0.0,9999.953330827067,11.997778213007132,11.990258451558274,15.642418421052927,24.806089172931852,0.0011990314409363943,36.70565,220.423,798,0,,,,,nan,nan,nan,nan
10,1,0.0,800,199.90598812125,12.848564581399819,187.363702,218.751214,800,199.90598812125,12.848564581399819,10000.014565,3.9909074492664756,3.9884123521490205,8.616258499999272,14.764585000000348,0.00039884065430348907,25.637049999999995,43.535,800,0,,,,,nan,nan,nan,nan
20,2,0.0,800,462.5122766675,17.53899436293249,437.30041654999997,499.75547495,800,462.5122766675,17.53899436293249,9999.989137499999,5.068385608054444,5.065216876511163,10.902223749998381,19.52604525000155,0.0005065222378608972,29.914749999999998,52.95,800,0,,,,,nan,nan,nan,nan
30,3,0.0,799,719.2723147484355,24.503430075173405,656.2485233,750.106815,799,719.2723147484355,24.503430075173405,10000.000007509387,6.278104527929026,6.27417457165789,10.870007509386774,28.68415279098878,0.000627417456694637,30.506999999999955,87.116,799,0,,,,,nan,nan,nan,nan
40,4,0.0,800,978.1615585312501,30.00728163759492,906.24007205,1030.6562493000001,800,978.1615585312501,30.00728163759492,9999.986915,4.711721780086471,4.708776033140145,9.21566500000026,19.17761500000117,0.0004708782194581647,26.664949999999983,59.865,800,0,,,,,nan,nan,nan,nan
50,5,0.0,800,1231.62914929625,38.958933018484586,1156.22999125,1297.02438205,800,1231.62914929625,38.958933018484586,9999.981165,4.706070334181459,4.703128120493313,9.414951500000914,16.104735000000485,0.00047031369788518127,27.355449999999998,64.939,800,0,,,,,nan,nan,nan,nan
60,6,0.0,799,1472.0271363804757,51.26762059668973,1374.9663268,1561.7619132,799,1472.0271363804757,51.26762059668973,9999.99519148936,4.9909329555248645,4.987808740536069,10.242691489360725,18.44056382978568,0.0004987811138930362,27.987399999999983,63.506,799,0,,,,,nan,nan,nan,nan
70,7,0.0,800,1743.36332784375,55.94550606756476,1655.20745935,1843.1455687,800,1743.36332784375,55.94550606756476,9999.99986625,4.552945397278476,4.550098916601815,10.03676625000097,16.262431074999014,0.0004550098977459389,27.364249999999995,55.996,800,0,,,,,nan,nan,nan,nan
80,8,0.0,800,2006.32433226375,60.24655927798401,1904.707254,2123.3464653,800,2006.32433226375,60.24655927798401,10000.00344,4.751405781453022,4.748435224250214,10.303509999999822,14.410161199999832,0.00047484335907890584,27.58015,50.341,800,0,,,,,nan,nan,nan,nan
90,9,0.0,799,2270.73134428035,71.19376087897157,2187.490594,2409.622387,799,2270.73134428035,71.19376087897157,10000.004588235295,4.9714605073209,4.968348481659248,10.266029411763334,20.29832470588422,0.0004968346202065107,27.259499999999974,57.244,799,0,,,,,nan,nan,nan,nan
100,10,0.0,799,2447.056286609512,72.18195916451239,2342.60072,2546.9401124,799,2447.056286609512,72.18195916451239,10000.011408010012,3.726943133324362,3.7246101483487513,7.829626408009785,14.22192831038802,0.00037246058993146123,22.619699999999987,36.473,799,0,,,,,nan,nan,nan,nan
