pwm_percent,step_index,target_rpm,samples,mean_raw_rpm,std_raw_rpm,p05_raw_rpm,p95_raw_rpm,clean_samples,clean_mean_raw_rpm,clean_std_raw_rpm,mean_period_us,std_period_us,rms_period_us,p95_abs_jitter_us,p99_abs_jitter_us,cv_period,p95_late_us,max_late_us,late_cycles,timing_outliers,intended_mode,intended_fifo,fifo_active,condition,rise_time_s,settling_time_s,overshoot_percent,steady_state_error_rpm
0,0,0.0,798,0.0,0.0,0.0,0.0,798,0.0,0.0,9999.956006265664,9.538968410287223,9.532989739433331,15.249006265664315,31.113424110276785,0.0009533031678799641,33.96525,140.128,798,0,,,,,nan,nan,nan,nan
10,1,250.0,800,250.07303521499998,15.511104068706208,218.73720125,281.2119773,800,250.07303521499998,15.511104068706208,10000.0021825,5.038707553923059,5.03555737696373,11.19861749999935,19.67399114999932,0.0005035556277953573,27.97094999999998,56.717,800,0,,,,,0.15002199999999988,5.910012,5.1361212000000025,2.820418985
20,2,500.0,799,499.95975397622027,21.565785100110222,468.478938,531.248088,799,499.95975397622027,21.565785100110222,10000.011406758447,4.16254932802903,4.159943663092611,10.004193241552624,13.513630488109774,0.0004159938917950772,27.044899999999984,44.572,799,0,,,,,0.19000799999999884,0.2399989999999974,3.2931174000000056,3.713089010000001
30,3,750.0,799,749.9375869399248,25.976952526793117,717.230762,781.546323,799,749.9375869399248,25.976952526793117,10000.015475594493,4.262555447022372,4.259887180440386,8.342480475594305,16.82295657071268,0.0004259880588021929,25.19599999999996,53.052,799,0,,,,,0.1999949999999977,0.21999999999999886,2.1706013333333276,5.303743645000002
40,4,1000.0,799,1000.0263242828536,34.08194901139825,937.2329639000001,1062.341392,799,1000.0263242828536,34.08194901139825,10000.014816020026,4.655690720253044,4.6527763595791924,10.0055528160215,16.304376020025696,0.00046527694660266337,26.023499999999995,49.746,799,0,,,,,0.20000499999999732,0.26001199999999614,2.4638682000000016,6.3642145249999995
50,5,1250.0,799,1250.0663964342928,44.982882842908054,1186.4870486,1342.65308,799,1250.0663964342928,44.982882842908054,9999.996989987483,5.2254052471930965,5.222134257672442,11.442710012516542,15.841850387984191,0.0005222135829541863,29.584899999999983,52.732,799,0,,,,,0.21000399999999786,0.2700000000000031,3.0599800800000048,7.2218326249999985
60,6,1500.0,800,1499.85549209125,60.02683468800014,1405.5113967000002,1594.9107879499993,800,1499.85549209125,60.02683468800014,10000.00507625,4.90816526956125,4.905096707042136,10.844273750000768,15.713474724999257,0.0004905094217093685,28.49715,42.438,800,0,,,,,0.2299989999999994,0.2999980000000022,2.6221547999999983,10.252749875
70,7,1750.0,799,1750.0116101689614,58.227267908910854,1624.5677039,1843.517477,799,1750.0116101689614,58.227267908910854,9999.990400500626,4.590010449565172,4.587137203305796,9.06057959949848,14.520555519397675,0.0004587141606732094,24.6651,59.03,799,0,,,,,0.24999899999998831,0.2800099999999901,2.060329542857146,11.372012095000004
80,8,2000.0,800,2000.1084699775,72.064504229889,1874.96369115,2125.062052,800,2000.1084699775,72.064504229889,10000.00830625,5.647804750129043,5.644273768383378,11.87430624999979,19.47105987500093,0.0005644269080112374,28.696799999999996,51.836,800,0,,,,,0.25,0.30000000000001137,3.19140809999999,13.201882985000003
90,9,2250.0,799,2249.9822060725905,73.49190451535623,2124.5267845000003,2374.2877859,799,2249.9822060725905,73.49190451535623,10000.020551939924,4.606557513458917,4.6036739090990615,10.276651939923614,14.86010986232691,0.0004603664447675546,26.66129999999999,46.274,799,0,,,,,0.2600000000000051,0.28000000000000114,2.6784645777777767,14.15852957499999
100,10,2500.0,799,2448.4211177822276,67.51953081449885,2337.1814067,2562.338316,799,2448.4211177822276,67.51953081449885,10000.016336670838,4.756777713282208,4.753800074359258,10.099269336671014,20.210983204005778,0.0004753792308245241,26.515699999999974,56.563,799,0,,,,,0.0,7.139997999999991,0.6125933599999916,55.110177435000004
