elapsed_s,step_index,pwm_percent,loop_period_us,late_us,raw_rpm,filtered_rpm,target_rpm,pwm,error_rpm
0.010039,0,0,10039.437000,39.437000,0.000000,0.000000,0.000000,0,0.000000
0.020039,0,0,9999.882000,39.319000,0.000000,0.000000,0.000000,0,0.000000
0.030058,0,0,10018.437000,57.756000,0.000000,0.000000,0.000000,0,0.000000
0.040028,0,0,9970.067000,27.823000,0.000000,0.000000,0.000000,0,0.000000
0.050025,0,0,9997.511000,25.334000,0.000000,0.000000,0.000000,0,0.000000
0.060025,0,0,9999.845000,25.179000,0.000000,0.000000,0.000000,0,0.000000
0.070018,0,0,9992.659000,17.838000,0.000000,0.000000,0.000000,0,0.000000
0.080030,0,0,10012.437000,30.275000,0.000000,0.000000,0.000000,0,0.000000
0.090032,0,0,10002.160000,32.435000,0.000000,0.000000,0.000000,0,0.000000
0.100028,0,0,9995.289000,27.724000,0.000000,0.000000,0.000000,0,0.000000
0.110021,0,0,9993.326000,21.050000,0.000000,0.000000,0.000000,0,0.000000
0.120028,0,0,10006.808000,27.858000,0.000000,0.000000,0.000000,0,0.000000
0.130035,0,0,10006.974000,34.832000,0.000000,0.000000,0.000000,0,0.000000
0.140021,0,0,9986.659000,21.491000,0.000000,0.000000,0.000000,0,0.000000
0.150040,0,0,10018.308000,39.799000,0.000000,0.000000,0.000000,0,0.000000
0.160024,0,0,9983.771000,23.570000,0.000000,0.000000,0.000000,0,0.000000
0.170029,0,0,10005.270000,28.840000,0.000000,0.000000,0.000000,0,0.000000
0.180031,0,0,10002.382000,31.222000,0.000000,0.000000,0.000000,0,0.000000
0.190023,0,0,9992.212000,23.434000,0.000000,0.000000,0.000000,0,0.000000
0.200031,0,0,10007.749000,31.183000,0.000000,0.000000,0.000000,0,0.000000
0.210031,0,0,9999.361000,30.544000,0.000000,0.000000,0.000000,0,0.000000
0.220033,0,0,10002.194000,32.738000,0.000000,0.000000,0.000000,0,0.000000
0.230038,0,0,10005.194000,37.932000,0.000000,0.000000,0.000000,0,0.000000
0.240038,0,0,9999.897000,37.829000,0.000000,0.000000,0.000000,0,0.000000
0.250024,0,0,9986.157000,23.986000,0.000000,0.000000,0.000000,0,0.000000
0.260027,0,0,10002.657000,26.643000,0.000000,0.000000,0.000000,0,0.000000
0.270041,0,0,10014.064000,40.707000,0.000000,0.000000,0.000000,0,0.000000
0.280027,0,0,9986.583000,27.290000,0.000000,0.000000,0.000000,0,0.000000
0.290031,0,0,10003.397000,30.687000,0.000000,0.000000,0.000000,0,0.000000
0.300026,0,0,9995.435000,26.122000,0.000000,0.000000,0.000000,0,0.000000
0.310033,0,0,10007.175000,33.297000,0.000000,0.000000,0.000000,0,0.000000
0.320024,0,0,9990.731000,24.028000,0.000000,0.000000,0.000000,0,0.000000
0.330037,0,0,10012.676000,36.704000,0.000000,0.000000,0.000000,0,0.000000
0.340024,0,0,9986.971000,23.675000,0.000000,0.000000,0.000000,0,0.000000
0.350036,0,0,10012.527000,36.202000,0.000000,0.000000,0.000000,0,0.000000
0.360024,0,0,9987.842000,24.044000,0.000000,0.000000,0.000000,0,0.000000
0.370022,0,0,9997.991000,22.035000,0.000000,0.000000,0.000000,0,0.000000
0.380030,0,0,10007.860000,29.895000,0.000000,0.000000,0.000000,0,0.000000
0.390038,0,0,10008.027000,37.922000,0.000000,0.000000,0.000000,0,0.000000
0.400024,0,0,9986.046000,23.968000,0.000000,0.000000,0.000000,0,0.000000
0.410036,0,0,10012.138000,36.106000,0.000000,0.000000,0.000000,0,0.000000
0.420027,0,0,9990.731000,26.837000,0.000000,0.000000,0.000000,0,0.000000
0.430032,0,0,10005.509000,32.346000,0.000000,0.000000,0.000000,0,0.000000
0.440030,0,0,9997.638000,29.984000,0.000000,0.000000,0.000000,0,0.000000
0.450040,0,0,10009.824000,39.808000,0.000000,0.000000,0.000000,0,0.000000
0.460025,0,0,9985.212000,25.020000,0.000000,0.000000,0.000000,0,0.000000
0.470038,0,0,10012.953000,37.973000,0.000000,0.000000,0.000000,0,0.000000
0.480021,0,0,9983.286000,21.259000,0.000000,0.000000,0.000000,0,0.000000
0.490023,0,0,10001.583000,22.842000,0.000000,0.000000,0.000000,0,0.000000
0.500028,0,0,10005.176000,28.018000,0.000000,0.000000,0.000000,0,0.000000
0.510028,0,0,10000.212000,28.230000,0.000000,0.000000,0.000000,0,0.000000
0.520031,0,0,10002.379000,30.609000,0.000000,0.000000,0.000000,0,0.000000
0.530026,0,0,9995.064000,25.673000,0.000000,0.000000,0.000000,0,0.000000
0.540031,0,0,10005.213000,30.886000,0.000000,0.000000,0.000000,0,0.000000
0.550026,0,0,9995.082000,25.968000,0.000000,0.000000,0.000000,0,0.000000
0.560032,0,0,10005.602000,31.570000,0.000000,0.000000,0.000000,0,0.000000
