elapsed_s,step_index,pwm_percent,loop_period_us,late_us,raw_rpm,filtered_rpm,target_rpm,pwm,error_rpm,intended_mode,intended_fifo,fifo_active,condition
0.010069,-1,20,10068.723000,68.723000,170.687301,170.687301,460.000000,821,289.312699,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.020060,-1,20,9991.627000,60.350000,174.825175,171.307982,460.000000,824,285.174825,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.030067,-1,20,10006.165000,66.515000,178.038524,172.317563,460.000000,826,281.961476,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.040063,-1,20,9996.165000,62.680000,175.479644,172.791875,460.000000,829,284.520356,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.050059,-1,20,9996.238000,58.918000,174.256506,173.011570,460.000000,831,285.743494,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.060060,-1,20,10001.091000,60.009000,172.334559,172.910018,460.000000,834,287.665441,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.070069,-1,20,10009.183000,69.192000,169.398554,172.383299,460.000000,837,290.601446,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.080064,-1,20,9994.443000,63.635000,171.703297,172.281298,460.000000,839,288.296703,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.090067,-1,20,10003.146000,66.781000,169.398554,171.848887,460.000000,842,290.601446,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.100061,-1,20,9993.831000,60.612000,167.410714,171.183161,460.000000,844,292.589286,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.110060,-1,20,9999.147000,59.759000,173.530773,171.535303,460.000000,847,286.469227,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.120058,-1,20,9998.516000,58.275000,172.879347,171.736909,460.000000,849,287.120653,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.130061,-1,20,10002.536000,60.811000,169.836957,171.451916,460.000000,852,290.163043,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.140069,-1,20,10007.776000,68.587000,172.097292,171.548723,460.000000,854,287.902708,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.150064,-1,20,9995.406000,63.993000,174.906716,172.052422,460.000000,857,285.093284,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.160059,-1,21,9994.739000,58.732000,175.479644,172.566505,460.000000,860,284.520356,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.170061,-1,21,10002.461000,61.193000,181.988353,173.979782,460.000000,862,278.011647,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.180059,-1,21,9997.609000,58.802000,178.826896,174.706849,460.000000,865,281.173104,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.190063,-1,21,10003.777000,62.579000,182.837640,175.926468,460.000000,867,277.162360,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.200071,-1,21,10008.202000,70.781000,187.687688,177.690651,460.000000,870,272.312312,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.210064,-1,21,9992.943000,63.724000,186.011905,178.938839,460.000000,872,273.988095,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.220067,-1,21,10003.331000,67.055000,187.500000,180.223013,460.000000,875,272.500000,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.230061,-1,21,9993.832000,60.887000,187.969925,181.385050,460.000000,877,272.030075,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.240067,-1,21,10006.035000,66.922000,184.729064,181.886652,460.000000,880,275.270936,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.250061,-1,21,9993.869000,60.791000,185.093781,182.367721,460.000000,882,274.906219,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.260058,-1,21,9997.350000,58.141000,179.205352,181.893366,460.000000,885,280.794648,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.270067,-1,21,10008.999000,67.140000,179.769895,181.574845,460.000000,888,280.230105,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.280059,-1,21,9991.812000,58.952000,180.984556,181.486302,460.000000,890,279.015444,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.290061,-1,21,10002.240000,61.192000,176.127214,180.682439,460.000000,893,283.872786,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.300061,-1,21,9999.516000,60.708000,175.070028,179.840577,460.000000,895,284.929972,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.310064,-1,21,10002.980000,63.688000,178.231939,179.599281,460.000000,898,281.768061,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.320058,-1,21,9994.498000,58.186000,177.809388,179.330797,460.000000,900,282.190612,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.330060,-1,22,10001.443000,59.629000,181.598063,179.670887,460.000000,903,278.401937,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.340058,-1,22,9998.258000,57.887000,179.856115,179.698671,460.000000,905,280.143885,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.350058,-1,22,9999.665000,57.552000,174.813532,178.965901,460.000000,908,285.186468,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.360060,-1,22,10002.257000,59.809000,179.942418,179.112378,460.000000,910,280.057582,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.370060,-1,22,10000.091000,59.900000,179.893092,179.229485,460.000000,913,280.106908,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.380058,-1,22,9998.091000,57.991000,180.201826,179.375336,460.000000,915,279.798174,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.390060,-1,22,10002.295000,60.286000,183.733464,180.029056,460.000000,918,276.266536,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.400059,-1,22,9999.109000,59.395000,185.919683,180.912650,460.000000,920,274.080317,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.410058,-1,22,9998.221000,57.616000,188.253012,182.013704,460.000000,923,271.746988,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.420058,-1,22,10000.183000,57.799000,189.012097,183.063463,460.000000,925,270.987903,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.430067,-1,22,10008.740000,66.539000,186.381710,183.561200,460.000000,928,273.618290,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.440059,-1,22,9992.183000,58.722000,192.209124,184.858388,460.000000,930,267.790876,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.450059,-1,22,10000.739000,59.461000,190.065890,185.639514,460.000000,933,269.934110,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.460057,-1,22,9997.906000,57.367000,186.196624,185.723080,460.000000,935,273.803376,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.470060,-1,22,10002.183000,59.550000,189.969605,186.360059,460.000000,938,270.030395,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.480058,-1,22,9998.591000,58.141000,190.936864,187.046580,460.000000,940,269.063136,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.490060,-1,23,10001.887000,60.028000,193.698347,188.044345,460.000000,942,266.301653,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.500059,-1,23,9998.999000,59.027000,194.861432,189.066908,460.000000,945,265.138568,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.510057,-1,23,9998.461000,57.488000,190.452006,189.274673,460.000000,947,269.547994,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.520057,-1,23,9999.924000,57.412000,193.000515,189.833549,460.000000,950,266.999485,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.530062,-1,23,10004.869000,62.281000,193.099897,190.323501,460.000000,952,266.900103,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.540058,-1,23,9995.665000,57.946000,195.674861,191.126205,460.000000,955,264.325139,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.550059,-1,23,10001.406000,59.352000,200.534759,192.537488,460.000000,957,259.465241,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.560058,-1,23,9998.627000,57.979000,197.970436,193.352430,460.000000,959,262.029564,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.570060,-1,23,10001.665000,59.644000,198.412698,194.111471,460.000000,962,261.587302,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.580060,-1,23,9999.943000,59.587000,196.027182,194.398827,460.000000,964,263.972818,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.590058,-1,23,9998.739000,58.326000,195.765661,194.603852,460.000000,967,264.234339,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.600058,-1,23,9999.499000,57.825000,199.786894,195.381309,460.000000,969,260.213106,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.610058,-1,23,10000.220000,58.045000,190.936864,194.714642,460.000000,971,269.063136,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.620058,-1,23,9999.850000,57.895000,191.413339,194.219447,460.000000,974,268.586661,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.630060,-1,23,10001.888000,59.783000,195.822454,194.459898,460.000000,976,264.177546,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.640063,-1,23,10003.054000,62.837000,195.822454,194.664281,460.000000,979,264.177546,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.650112,-1,23,10048.722000,111.559000,197.322264,195.062979,460.000000,981,262.677736,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.660093,-1,24,9981.757000,93.316000,189.202825,194.183956,460.000000,983,270.797175,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.670102,-1,24,10008.758000,102.074000,191.914023,193.843466,460.000000,986,268.085977,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.680082,-1,24,9980.072000,82.146000,195.109261,194.033335,460.000000,988,264.890739,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.690090,-1,24,10007.406000,89.552000,197.137850,194.499012,460.000000,990,262.862150,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.700079,-1,24,9989.794000,79.346000,199.468085,195.244373,460.000000,993,260.531915,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.710121,-1,24,10041.945000,121.291000,197.309080,195.554079,460.000000,995,262.690920,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.720142,-1,24,10020.462000,141.753000,198.997642,196.070614,460.000000,997,261.002358,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.730110,-1,24,9968.237000,109.990000,196.871063,196.190681,460.000000,1000,263.128937,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.740106,-1,24,9996.036000,106.026000,196.643943,196.258670,460.000000,1002,263.356057,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.750225,-1,24,10119.040000,225.066000,198.249530,196.557299,460.000000,1004,261.750470,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.760131,-1,24,9905.661000,130.727000,189.887153,195.556777,460.000000,1006,270.112847,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.770121,-1,24,9989.961000,120.688000,190.548780,194.805578,460.000000,1009,269.451220,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.780460,-1,24,10339.440000,460.128000,195.428827,194.899065,460.000000,1011,264.571173,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.790074,-1,24,9614.277000,74.405000,192.549064,194.546565,460.000000,1013,267.450936,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.800067,-1,24,9992.461000,66.866000,196.953782,194.907647,460.000000,1016,263.046218,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.810069,-1,24,10002.554000,69.420000,197.889182,195.354878,460.000000,1018,262.110818,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.820101,-1,24,10031.944000,101.364000,200.130455,196.071214,460.000000,1020,259.869545,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.830087,-1,24,9985.294000,86.658000,205.254516,197.448710,460.000000,1022,254.745484,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.840066,-1,25,9979.479000,66.137000,199.751420,197.794116,460.000000,1024,260.248580,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.850061,-1,25,9994.405000,60.542000,200.988566,198.273284,460.000000,1027,259.011434,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.860060,-1,25,9998.998000,59.540000,202.156334,198.855741,460.000000,1029,257.843666,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.870059,-1,25,9999.869000,59.409000,202.435221,199.392663,460.000000,1031,257.564779,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.880060,-1,25,10000.276000,59.685000,204.595053,200.173022,460.000000,1033,255.404947,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.890064,-1,25,10004.443000,64.128000,205.192121,200.925887,460.000000,1035,254.807879,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.900060,-1,25,9996.054000,60.182000,212.638609,202.682795,460.000000,1038,247.361391,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.910060,-1,25,9999.405000,59.587000,209.159643,203.654322,460.000000,1040,250.840357,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.920061,-1,25,10001.314000,60.901000,205.930807,203.995795,460.000000,1042,254.069193,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.930060,-1,25,9998.646000,59.547000,208.230503,204.631001,460.000000,1044,251.769497,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.940060,-1,25,10000.202000,59.749000,208.127775,205.155517,460.000000,1046,251.872225,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.950059,-1,25,9999.702000,59.451000,210.937500,206.022815,460.000000,1048,249.062500,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.960059,-1,25,9999.961000,59.412000,204.992711,205.868299,460.000000,1051,255.007289,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.970060,-1,25,10001.036000,60.448000,208.025148,206.191826,460.000000,1053,251.974852,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.980060,-1,25,9999.146000,59.594000,209.159643,206.636999,460.000000,1055,250.840357,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.990059,-1,25,9999.813000,59.407000,207.717873,206.799130,460.000000,1057,252.282127,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
1.000060,-1,25,10000.258000,59.665000,212.424471,207.642931,460.000000,1059,247.575529,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
1.010039,-1,25,9979.034000,38.699000,213.283620,208.489035,460.000000,1061,246.716380,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
1.020060,-1,25,10021.407000,60.106000,212.853179,209.143656,460.000000,1063,247.146821,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
1.030060,-1,26,9999.961000,60.067000,207.004416,208.822770,460.000000,1065,252.995584,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
1.040058,-1,26,9998.036000,58.103000,212.531486,209.379078,460.000000,1067,247.468514,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
1.050061,-1,26,10002.498000,60.601000,211.625282,209.716008,460.000000,1069,248.374718,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
1.060060,-1,26,9999.110000,59.711000,203.804348,208.829259,460.000000,1071,256.195652,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
