elapsed_s,step_index,pwm_percent,loop_period_us,late_us,raw_rpm,filtered_rpm,target_rpm,pwm,error_rpm,intended_mode,intended_fifo,fifo_active,condition
0.010071,-1,20,10071.028000,71.028000,1380.152570,1380.152570,460.000000,819,-920.152570,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.020070,-1,20,9999.249000,70.277000,1357.426436,1376.743650,460.000000,819,-897.426436,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.030070,-1,20,9999.528000,69.805000,1430.339936,1384.783093,460.000000,819,-970.339936,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.040070,-1,20,9999.917000,69.722000,1456.441205,1395.531809,460.000000,819,-996.441205,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.050070,-1,20,10000.361000,70.083000,1427.914916,1400.389275,460.000000,819,-967.914916,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.060071,-1,20,10001.083000,71.166000,1472.513089,1411.207847,460.000000,819,-1012.513089,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.070072,-1,20,10000.935000,72.101000,1515.250261,1426.814209,460.000000,819,-1055.250261,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.080070,-1,20,9997.472000,69.573000,1490.963855,1436.436656,460.000000,819,-1030.963855,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.090071,-1,20,10001.176000,70.749000,1511.310452,1447.667726,460.000000,819,-1051.310452,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.100069,-1,20,9998.528000,69.277000,1563.233913,1465.002654,460.000000,819,-1103.233913,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.110070,-1,20,10000.953000,70.230000,1539.781906,1476.219542,460.000000,819,-1079.781906,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.120070,-1,20,9999.473000,69.703000,1551.418440,1487.499376,460.000000,819,-1091.418440,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.130071,-1,20,10000.824000,70.527000,1607.849604,1505.551911,460.000000,819,-1147.849604,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.140069,-1,20,9998.842000,69.369000,1582.278481,1517.060896,460.000000,819,-1122.278481,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.150071,-1,20,10001.324000,70.693000,1578.367183,1526.256839,460.000000,819,-1118.367183,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.160069,-1,20,9998.713000,69.406000,1642.400568,1543.678399,460.000000,819,-1182.400568,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.170071,-1,20,10001.953000,71.359000,1619.816587,1555.099127,460.000000,819,-1159.816587,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.180070,-1,20,9998.713000,70.072000,1607.142857,1562.905686,460.000000,819,-1147.142857,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.190071,-1,20,10000.991000,71.063000,1679.399368,1580.379739,460.000000,819,-1219.399368,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.200071,-1,20,9999.453000,70.516000,1658.102294,1592.038122,460.000000,819,-1198.102294,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.210071,-1,20,10000.213000,70.729000,1632.585752,1598.120266,460.000000,819,-1172.585752,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.220070,-1,20,9999.472000,70.201000,1695.094021,1612.666330,460.000000,819,-1235.094021,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.230071,-1,20,10000.361000,70.562000,1686.326903,1623.715416,460.000000,819,-1226.326903,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.240071,-1,20,10000.194000,70.756000,1662.871524,1629.588832,460.000000,819,-1202.871524,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.250076,-1,20,10005.343000,76.099000,1713.122352,1642.118860,460.000000,819,-1253.122352,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.260070,-1,20,9994.398000,70.497000,1714.667458,1653.001150,460.000000,819,-1254.667458,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.270073,-1,20,10002.879000,73.376000,1689.189189,1658.429356,460.000000,819,-1229.189189,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.280071,-1,20,9997.268000,70.644000,1722.209138,1667.996323,460.000000,819,-1262.209138,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.290070,-1,20,9999.658000,70.302000,1735.205944,1678.077766,460.000000,819,-1275.205944,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.300070,-1,20,9999.287000,69.589000,1711.095101,1683.030366,460.000000,819,-1251.095101,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.310070,-1,20,9999.990000,69.579000,1734.301720,1690.721069,460.000000,819,-1274.301720,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.320069,-1,20,9999.528000,69.107000,1755.280845,1700.405036,460.000000,819,-1295.280845,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.330071,-1,20,10001.564000,70.671000,1736.111111,1705.760947,460.000000,819,-1276.111111,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.340069,-1,20,9998.472000,69.143000,1745.933522,1711.786833,460.000000,819,-1285.933522,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.350071,-1,20,10001.769000,70.912000,1774.053838,1721.126884,460.000000,819,-1314.053838,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.360069,-1,20,9998.176000,69.088000,1751.077586,1725.619489,460.000000,819,-1291.077586,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.370072,-1,20,10002.453000,71.541000,1750.723304,1729.385061,460.000000,819,-1290.723304,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.380073,-1,20,10001.843000,73.384000,1789.976134,1738.473722,460.000000,819,-1329.976134,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.390074,-1,20,10000.546000,73.930000,1768.397981,1742.962361,460.000000,819,-1308.397981,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.400073,-1,20,9998.805000,72.735000,1760.040399,1745.524067,460.000000,819,-1300.040399,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.410075,-1,20,10002.694000,75.429000,1802.884615,1754.128149,460.000000,819,-1342.884615,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.420071,-1,20,9995.361000,70.790000,1781.733928,1758.269016,460.000000,819,-1321.733928,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.430085,-1,20,10014.139000,84.929000,1764.647402,1759.225774,460.000000,819,-1304.647402,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.440076,-1,20,9991.120000,76.049000,1811.486164,1767.064832,460.000000,819,-1351.486164,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.450072,-1,20,9995.824000,71.873000,1791.557592,1770.738746,460.000000,819,-1331.557592,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.460071,-1,20,9998.917000,70.790000,1768.445559,1770.394768,460.000000,819,-1308.445559,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.470072,-1,20,10001.379000,72.169000,1818.003145,1777.536025,460.000000,819,-1358.003145,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.480071,-1,20,9998.583000,70.752000,1800.320057,1780.953629,460.000000,819,-1340.320057,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.490071,-1,20,9999.935000,70.687000,1773.515502,1779.837910,460.000000,819,-1313.515502,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.500070,-1,20,9999.528000,70.215000,1821.043165,1786.018699,460.000000,819,-1361.043165,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.510071,-1,20,10000.639000,70.854000,1809.558435,1789.549659,460.000000,819,-1349.558435,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.520071,-1,20,9999.731000,70.585000,1785.714286,1788.974353,460.000000,819,-1325.714286,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.530071,-1,20,10000.527000,71.112000,1820.866142,1793.758121,460.000000,819,-1360.866142,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.540070,-1,20,9999.380000,70.492000,1822.546230,1798.076338,460.000000,819,-1362.546230,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.550084,-1,20,10013.805000,84.297000,1796.259843,1797.803863,460.000000,819,-1336.259843,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.560075,-1,20,9990.806000,75.103000,1814.801700,1800.353539,460.000000,819,-1354.801700,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.570070,-1,20,9995.268000,70.371000,1834.785523,1805.518336,460.000000,819,-1374.785523,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.580070,-1,20,10000.028000,70.399000,1801.174099,1804.866701,460.000000,819,-1341.174099,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.590083,-1,20,10012.805000,83.204000,1812.304075,1805.982307,460.000000,819,-1352.304075,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.600072,-1,20,9989.287000,72.491000,1841.280170,1811.276986,460.000000,819,-1381.280170,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
