elapsed_s,step_index,pwm_percent,loop_period_us,late_us,raw_rpm,filtered_rpm,target_rpm,pwm,error_rpm,intended_mode,intended_fifo,fifo_active,condition
0.010077,-1,20,10076.857000,76.857000,478.362815,478.362815,460.000000,821,-18.362815,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.020075,-1,20,9997.877000,74.734000,473.702343,477.663744,460.000000,824,-13.702343,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.030076,-1,20,10001.136000,75.870000,473.988824,477.112506,460.000000,826,-13.988824,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.040076,-1,20,9999.933000,75.803000,474.626326,476.739579,460.000000,829,-14.626326,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.050074,-1,20,9998.230000,74.033000,472.680713,476.130749,460.000000,831,-12.680713,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.060074,-1,20,9999.784000,73.817000,476.049425,476.118550,460.000000,834,-16.049425,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.070075,-1,20,10001.248000,75.065000,476.856562,476.229252,460.000000,837,-16.856562,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.080073,-1,20,9998.081000,73.146000,479.247809,476.682036,460.000000,839,-19.247809,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.090074,-1,20,10001.155000,74.301000,487.012987,478.231678,460.000000,842,-27.012987,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.100073,-1,20,9999.118000,73.419000,489.672365,479.947781,460.000000,844,-29.672365,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.110070,-1,20,9996.766000,70.185000,490.067956,481.465807,460.000000,847,-30.067956,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.120074,-1,20,10003.544000,73.729000,493.893678,483.329988,460.000000,849,-33.893678,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.130073,-1,20,9999.415000,73.144000,489.300626,484.225584,460.000000,852,-29.300626,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.140081,-1,20,10007.692000,80.836000,490.557511,485.175373,460.000000,854,-30.557511,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.150075,-1,20,9993.914000,74.750000,494.253480,486.537089,460.000000,857,-34.253480,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.160073,-1,21,9998.451000,73.201000,490.604186,487.147154,460.000000,860,-30.604186,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.170069,-1,21,9995.971000,69.172000,492.125984,487.893978,460.000000,862,-32.125984,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.180076,-1,21,10007.284000,76.456000,494.841651,488.936129,460.000000,865,-34.841651,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.190075,-1,21,9998.174000,74.630000,494.722955,489.804153,460.000000,867,-34.722955,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.200072,-1,21,9997.747000,72.377000,501.824818,491.607253,460.000000,870,-41.824818,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.210074,-1,21,10002.081000,74.458000,506.626351,493.860117,460.000000,872,-46.626351,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.220075,-1,21,10000.933000,75.391000,507.504921,495.906838,460.000000,875,-47.504921,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.230071,-1,21,9995.304000,70.695000,511.895476,498.305134,460.000000,877,-51.895476,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.240073,-1,21,10002.506000,73.201000,515.109890,500.825847,460.000000,880,-55.109890,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
