elapsed_s,step_index,pwm_percent,loop_period_us,late_us,raw_rpm,filtered_rpm,target_rpm,pwm,error_rpm,intended_mode,intended_fifo,fifo_active,condition
0.010087,-1,20,10087.452000,87.452000,468.324251,468.324251,460.000000,819,-8.324251,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.020087,-1,20,9999.304000,86.756000,474.291724,469.219372,460.000000,819,-14.291724,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.030073,-1,20,9986.027000,72.783000,474.574321,470.022614,460.000000,819,-14.574321,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.040076,-1,20,10003.508000,76.291000,479.604200,471.459852,460.000000,819,-19.604200,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.050071,-1,20,9995.008000,71.299000,481.667445,472.990991,460.000000,819,-21.667445,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.060077,-1,20,10005.212000,76.511000,478.779164,473.859217,460.000000,819,-18.779164,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.070071,-1,20,9994.693000,71.204000,482.111372,475.097040,460.000000,819,-22.111372,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.080087,-1,20,10015.990000,87.194000,479.049566,475.689919,460.000000,819,-19.049566,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.090076,-1,20,9988.971000,76.165000,474.351870,475.489212,460.000000,819,-14.351870,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.100073,-1,20,9997.138000,73.303000,475.936643,475.556326,460.000000,819,-15.936643,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.110071,-1,20,9997.415000,70.718000,470.317726,474.770536,460.000000,819,-10.317726,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.120070,-1,20,9999.379000,70.097000,470.842634,474.181351,460.000000,819,-10.842634,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.130070,-1,20,9999.860000,69.957000,470.992823,473.703072,460.000000,819,-10.992823,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.140069,-1,20,9999.063000,69.020000,469.420601,473.060701,460.000000,819,-9.420601,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.150070,-1,20,10000.860000,69.880000,475.761218,473.465779,460.000000,819,-15.761218,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.160070,-1,20,9999.638000,69.518000,476.925872,473.984793,460.000000,819,-16.925872,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.170069,-1,20,9999.823000,69.341000,478.316327,474.634523,460.000000,819,-18.316327,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.180070,-1,20,10000.730000,70.071000,483.247423,475.926458,460.000000,819,-23.247423,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.190076,-1,20,10006.064000,76.135000,480.886663,476.670489,460.000000,819,-20.886663,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.200074,-1,20,9997.693000,73.828000,479.862608,477.149306,460.000000,819,-19.862608,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.210072,-1,20,9998.360000,72.188000,481.667445,477.827027,460.000000,819,-21.667445,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.220072,-1,20,9999.897000,72.085000,474.746802,477.364993,460.000000,819,-14.746802,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.230072,-1,20,9999.897000,71.982000,473.712705,476.817150,460.000000,819,-13.712705,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.240076,-1,20,10003.841000,75.823000,472.480106,476.166593,460.000000,819,-12.480106,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.250076,-1,20,9999.934000,75.757000,469.420601,475.154695,460.000000,819,-9.420601,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.260072,-1,20,9996.379000,72.136000,472.530242,474.761027,460.000000,819,-12.530242,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.270073,-1,20,10001.064000,73.200000,473.712705,474.603778,460.000000,819,-13.712705,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.280072,-1,20,9998.767000,71.967000,475.000000,474.663212,460.000000,819,-15.000000,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.290073,-1,20,10000.767000,72.734000,480.769231,475.579114,460.000000,819,-20.769231,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.300071,-1,20,9998.101000,70.835000,481.939935,476.533238,460.000000,819,-21.939935,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.310068,-1,20,9997.323000,68.158000,481.173012,477.229204,460.000000,819,-21.173012,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.320072,-1,20,10004.008000,72.166000,484.614757,478.337037,460.000000,819,-24.614757,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.330072,-1,20,9999.990000,72.156000,478.982815,478.433903,460.000000,819,-18.982815,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.340083,-1,20,10010.526000,82.682000,478.830645,478.493415,460.000000,819,-18.830645,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.350075,-1,20,9992.712000,75.394000,475.888325,478.102651,460.000000,819,-15.888325,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.360084,-1,20,10008.712000,84.106000,471.429706,477.101709,460.000000,819,-11.429706,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.370072,-1,20,9988.212000,72.318000,473.054799,476.494673,460.000000,819,-13.054799,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.380073,-1,20,10001.100000,73.418000,471.669861,475.770951,460.000000,819,-11.669861,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.390071,-1,20,9997.138000,70.556000,471.729343,475.164710,460.000000,819,-11.729343,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.400110,-1,20,10039.489000,110.045000,476.925872,475.428884,460.000000,819,-16.925872,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.410073,-1,20,9963.360000,73.405000,478.316327,475.862001,460.000000,819,-18.316327,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.420087,-1,20,10013.249000,86.654000,481.217919,476.665388,460.000000,819,-21.217919,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.430085,-1,20,9998.360000,85.014000,485.618866,478.008410,460.000000,819,-25.618866,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.440074,-1,20,9988.805000,73.819000,482.117812,478.624820,460.000000,819,-22.117812,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.450071,-1,20,9997.397000,71.216000,482.200866,479.161227,460.000000,819,-22.200866,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.460071,-1,20,9999.989000,71.205000,483.473980,479.808140,460.000000,819,-23.473980,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.470071,-1,20,10000.064000,71.269000,475.253469,479.124939,460.000000,819,-15.253469,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.480071,-1,20,9999.878000,71.147000,476.108033,478.672403,460.000000,819,-16.108033,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.490071,-1,20,9999.934000,71.081000,472.981944,477.818834,460.000000,819,-12.981944,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.500070,-1,20,9999.008000,70.089000,472.303522,476.991538,460.000000,819,-12.303522,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.510070,-1,20,9999.879000,69.968000,475.304195,476.738436,460.000000,819,-15.304195,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.520070,-1,20,10000.156000,70.124000,475.011515,476.479398,460.000000,819,-15.011515,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.530070,-1,20,9999.601000,69.725000,476.270053,476.447996,460.000000,819,-16.270053,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.540070,-1,20,10000.249000,69.974000,483.700750,477.535909,460.000000,819,-23.700750,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.550070,-1,20,10000.045000,70.019000,483.982719,478.502931,460.000000,819,-23.982719,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.560070,-1,20,10000.434000,70.453000,483.292717,479.221399,460.000000,819,-23.292717,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.570071,-1,20,10000.563000,71.016000,486.149017,480.260542,460.000000,819,-26.149017,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.580071,-1,20,9999.749000,70.765000,481.217919,480.404148,460.000000,819,-21.217919,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.590071,-1,20,10000.342000,71.107000,481.939935,480.634516,460.000000,819,-21.939935,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.600073,-1,20,10002.100000,73.207000,477.873031,480.220293,460.000000,819,-17.873031,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.610073,-1,20,9999.768000,72.975000,473.736702,479.247755,460.000000,819,-13.736702,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.620073,-1,20,10000.360000,73.335000,474.580561,478.547676,460.000000,819,-14.580561,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.630071,-1,20,9997.193000,70.528000,472.279669,477.607475,460.000000,819,-12.279669,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.640074,-1,20,10003.878000,74.406000,473.050459,476.923922,460.000000,819,-13.050459,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.650071,-1,20,9996.157000,70.563000,479.088219,477.248567,460.000000,819,-19.088219,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.660073,-1,20,10002.860000,73.423000,478.316327,477.408731,460.000000,819,-18.316327,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.670080,-1,20,10006.619000,80.042000,481.757451,478.061039,460.000000,819,-21.757451,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.680075,-1,20,9994.934000,74.976000,486.438679,479.317685,460.000000,819,-26.438679,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.690073,-1,20,9998.026000,73.002000,480.639504,479.515958,460.000000,819,-20.639504,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.700073,-1,20,9999.546000,72.548000,484.609962,480.280058,460.000000,819,-24.609962,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.710073,-1,20,10000.433000,72.981000,482.932979,480.677997,460.000000,819,-22.932979,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.720078,-1,20,10005.175000,78.156000,477.917323,480.263896,460.000000,819,-17.917323,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.730076,-1,20,9997.526000,75.682000,477.290997,479.817961,460.000000,819,-17.290997,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.740073,-1,20,9996.971000,72.653000,473.940780,478.936384,460.000000,819,-13.940780,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.750074,-1,20,10001.822000,74.475000,471.929313,477.885323,460.000000,819,-11.929313,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.760077,-1,20,10002.119000,76.594000,474.836541,477.428006,460.000000,819,-14.836541,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.770073,-1,20,9996.396000,72.990000,473.988824,476.912128,460.000000,819,-13.988824,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.780073,-1,20,9999.823000,72.813000,476.233672,476.810360,460.000000,819,-16.233672,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.790087,-1,20,10014.211000,87.024000,483.496648,477.813303,460.000000,819,-23.496648,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.800085,-1,20,9998.174000,85.198000,482.117812,478.458979,460.000000,819,-22.117812,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.810077,-1,20,9992.119000,77.317000,484.245868,479.327013,460.000000,819,-24.245868,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.820072,-1,20,9994.600000,71.917000,485.065851,480.187839,460.000000,819,-25.065851,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.830073,-1,20,10000.619000,72.536000,481.158833,480.333488,460.000000,819,-21.158833,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.840076,-1,20,10003.786000,76.322000,482.117812,480.601136,460.000000,819,-22.117812,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.850073,-1,20,9996.692000,73.014000,477.035351,480.066269,460.000000,819,-17.035351,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.860072,-1,20,9998.730000,71.744000,474.169075,479.181690,460.000000,819,-14.169075,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.870073,-1,20,10000.990000,72.734000,475.000000,478.554436,460.000000,819,-15.000000,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.880072,-1,20,9999.544000,72.278000,472.530242,477.650807,460.000000,819,-12.530242,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.890072,-1,20,9999.582000,71.860000,472.101924,476.818474,460.000000,819,-12.101924,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.900072,-1,20,10000.285000,72.145000,480.417277,477.358295,460.000000,819,-20.417277,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.910079,-1,20,10006.878000,79.023000,477.546917,477.386588,460.000000,819,-17.546917,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.920074,-1,20,9994.878000,73.901000,482.569022,478.163953,460.000000,819,-22.569022,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.930072,-1,20,9998.453000,72.354000,486.760125,479.453379,460.000000,819,-26.760125,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.940072,-1,20,10000.100000,72.454000,481.828194,479.809601,460.000000,819,-21.828194,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.950071,-1,20,9998.841000,71.295000,484.997413,480.587773,460.000000,819,-24.997413,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.960071,-1,20,9999.915000,71.210000,482.343312,480.851104,460.000000,819,-22.343312,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.970071,-1,20,10000.285000,71.495000,476.779979,480.240435,460.000000,819,-16.779979,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.980071,-1,20,9999.823000,71.318000,477.388458,479.812638,460.000000,819,-17.388458,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.990071,-1,20,9999.674000,70.992000,473.724103,478.899358,460.000000,819,-13.724103,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
1.000072,-1,20,10000.952000,71.944000,471.895973,477.848850,460.000000,819,-11.895973,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
1.010070,-1,20,9997.600000,69.544000,475.761218,477.535706,460.000000,819,-15.761218,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
1.020077,-1,20,10007.730000,77.274000,473.940780,476.996467,460.000000,819,-13.940780,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
1.030074,-1,20,9997.212000,74.486000,477.099237,477.011882,460.000000,819,-17.099237,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
1.040075,-1,20,10000.415000,74.901000,483.010304,477.911645,460.000000,819,-23.010304,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
1.050075,-1,20,9999.637000,74.538000,482.501287,478.600092,460.000000,819,-22.501287,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
1.060073,-1,20,9998.841000,73.379000,485.152785,479.582996,460.000000,819,-25.152785,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
1.070074,-1,20,10000.693000,74.072000,484.496124,480.319965,460.000000,819,-24.496124,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
1.080073,-1,20,9998.841000,72.913000,483.021077,480.725132,460.000000,819,-23.021077,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
1.090074,-1,20,10000.785000,73.698000,483.247423,481.103475,460.000000,819,-23.247423,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
1.100073,-1,20,9999.508000,73.206000,477.651691,480.585708,460.000000,819,-17.651691,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
1.110075,-1,20,10001.415000,74.621000,474.190715,479.626459,460.000000,819,-14.190715,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
1.120074,-1,20,9998.971000,73.592000,475.819316,479.055387,460.000000,819,-15.819316,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
1.130075,-1,20,10001.007000,74.599000,471.979332,477.993979,460.000000,819,-11.979332,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
1.140073,-1,20,9998.452000,73.051000,473.920037,477.382888,460.000000,819,-13.920037,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
1.150074,-1,20,10000.860000,73.911000,480.587632,477.863599,460.000000,819,-20.587632,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
1.160073,-1,20,9998.711000,72.622000,479.695786,478.138427,460.000000,819,-19.695786,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
1.170074,-1,20,10001.304000,73.926000,483.509772,478.944129,460.000000,819,-23.509772,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
1.180074,-1,20,10000.360000,74.286000,486.668240,480.102746,460.000000,819,-26.668240,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
1.190074,-1,20,9999.581000,73.867000,482.998454,480.537102,460.000000,819,-22.998454,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
1.200074,-1,20,10000.027000,73.894000,486.351285,481.409229,460.000000,819,-26.351285,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
1.210074,-1,20,10000.026000,73.920000,482.998454,481.647613,460.000000,819,-22.998454,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
1.220074,-1,20,10000.526000,74.446000,480.182927,481.427910,460.000000,819,-20.182927,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
1.230074,-1,20,9999.471000,73.917000,478.560490,480.997797,460.000000,819,-18.560490,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
1.240075,-1,20,10000.674000,74.591000,474.855282,480.076420,460.000000,819,-14.855282,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
1.250074,-1,20,9999.452000,74.043000,472.480106,478.936973,460.000000,819,-12.480106,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
1.260074,-1,20,9999.859000,73.902000,476.327945,478.545619,460.000000,819,-16.327945,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
