elapsed_s,step_index,pwm_percent,loop_period_us,late_us,raw_rpm,filtered_rpm,target_rpm,pwm,error_rpm,intended_mode,intended_fifo,fifo_active,condition
0.010090,-1,20,10089.581000,89.581000,182.659523,182.659523,460.000000,819,277.340477,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.020080,-1,20,9990.322000,79.903000,179.893092,182.244558,460.000000,819,280.106908,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.030076,-1,20,9995.729000,75.632000,180.375180,181.964151,460.000000,819,279.624820,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.040075,-1,20,9999.248000,74.880000,178.717320,181.477127,460.000000,819,281.282680,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.050074,-1,20,9999.526000,74.406000,176.720075,180.763569,460.000000,819,283.279925,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.060073,-1,20,9998.599000,73.005000,181.422351,180.862386,460.000000,819,278.577649,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.070075,-1,20,10001.841000,74.846000,179.425837,180.646904,460.000000,819,280.574163,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.080083,-1,20,10008.118000,82.964000,173.061709,179.509125,460.000000,819,286.938291,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.090077,-1,20,9994.211000,77.175000,175.315568,178.880091,460.000000,819,284.684432,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.100074,-1,20,9996.729000,73.904000,175.655782,178.396445,460.000000,819,284.344218,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.110073,-1,20,9999.026000,72.930000,176.304654,178.082676,460.000000,819,283.695346,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.120075,-1,20,10002.340000,75.270000,178.231939,178.105066,460.000000,819,281.768061,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.130073,-1,20,9997.563000,72.833000,174.499767,177.564271,460.000000,819,285.500233,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.140082,-1,20,10008.729000,81.562000,178.328804,177.678951,460.000000,819,281.671196,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.150079,-1,20,9997.470000,79.032000,181.071946,178.187900,460.000000,819,278.928054,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.160075,-1,20,9995.785000,74.817000,177.077712,178.021372,460.000000,819,282.922288,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.170074,-1,20,9998.896000,73.713000,176.304654,177.763864,460.000000,819,283.695346,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.180072,-1,20,9998.155000,71.868000,179.168657,177.974583,460.000000,819,280.831343,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.190079,-1,20,10007.619000,79.487000,178.135179,177.998673,460.000000,819,281.864821,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.200076,-1,20,9996.303000,75.790000,179.942418,178.290235,460.000000,819,280.057582,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.210073,-1,20,9996.989000,72.779000,176.886792,178.079718,460.000000,819,283.113208,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.220073,-1,20,9999.821000,72.600000,173.290203,177.361291,460.000000,819,286.709797,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.230073,-1,20,10000.378000,72.978000,176.982201,177.304427,460.000000,819,283.017799,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.240072,-1,20,9998.877000,71.855000,178.826896,177.532798,460.000000,819,281.173104,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.250072,-1,20,10000.211000,72.066000,175.749866,177.265358,460.000000,819,284.250134,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.260071,-1,20,9999.285000,71.351000,176.304654,177.121252,460.000000,819,283.695346,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.270071,-1,20,10000.099000,71.450000,176.056338,176.961515,460.000000,819,283.943662,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.280071,-1,20,9999.969000,71.419000,176.032725,176.822197,460.000000,819,283.967275,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.290162,-1,20,10090.636000,162.055000,176.470588,176.769455,460.000000,819,283.529412,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.300090,-1,20,9927.822000,89.877000,172.334559,176.104221,460.000000,819,287.665441,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.310086,-1,20,9996.080000,85.957000,176.127214,176.107670,460.000000,819,283.872786,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.320088,-1,20,10001.951000,87.908000,179.683757,176.644083,460.000000,819,280.316243,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.330082,-1,20,9994.192000,82.100000,175.973721,176.543529,460.000000,819,284.026279,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
