elapsed_s,step_index,pwm_percent,loop_period_us,late_us,raw_rpm,filtered_rpm,target_rpm,pwm,error_rpm,intended_mode,intended_fifo,fifo_active,condition
0.010037,0,0,10036.886000,36.886000,0.000000,0.000000,0.000000,0,0.000000,PI,FIFO,true,PI_FIFO
0.020021,0,0,9984.048000,20.934000,0.000000,0.000000,0.000000,0,0.000000,PI,FIFO,true,PI_FIFO
0.030019,0,0,9997.939000,18.873000,0.000000,0.000000,0.000000,0,0.000000,PI,FIFO,true,PI_FIFO
0.040016,0,0,9997.290000,16.163000,0.000000,0.000000,0.000000,0,0.000000,PI,FIFO,true,PI_FIFO
0.050021,0,0,10005.291000,21.454000,0.000000,0.000000,0.000000,0,0.000000,PI,FIFO,true,PI_FIFO
0.060027,0,0,10005.735000,27.189000,0.000000,0.000000,0.000000,0,0.000000,PI,FIFO,true,PI_FIFO
0.070023,0,0,9995.809000,22.998000,0.000000,0.000000,0.000000,0,0.000000,PI,FIFO,true,PI_FIFO
0.080022,0,0,9999.235000,22.233000,0.000000,0.000000,0.000000,0,0.000000,PI,FIFO,true,PI_FIFO
0.090019,0,0,9996.624000,18.857000,0.000000,0.000000,0.000000,0,0.000000,PI,FIFO,true,PI_FIFO
0.100016,0,0,9997.568000,16.425000,0.000000,0.000000,0.000000,0,0.000000,PI,FIFO,true,PI_FIFO
0.110018,0,0,10001.698000,18.123000,0.000000,0.000000,0.000000,0,0.000000,PI,FIFO,true,PI_FIFO
0.120020,0,0,10001.939000,20.062000,0.000000,0.000000,0.000000,0,0.000000,PI,FIFO,true,PI_FIFO
0.130019,0,0,9998.642000,18.704000,0.000000,0.000000,0.000000,0,0.000000,PI,FIFO,true,PI_FIFO
0.140019,0,0,10000.365000,19.069000,0.000000,0.000000,0.000000,0,0.000000,PI,FIFO,true,PI_FIFO
0.183445,0,0,43425.876000,33444.945000,0.000000,0.000000,0.000000,0,0.000000,PI,FIFO,true,PI_FIFO
0.183985,0,0,539.796000,23984.741000,0.000000,0.000000,0.000000,0,0.000000,PI,FIFO,true,PI_FIFO
0.184305,0,0,320.744000,14305.485000,0.000000,0.000000,0.000000,0,0.000000,PI,FIFO,true,PI_FIFO
0.184743,0,0,437.659000,4743.144000,0.000000,0.000000,0.000000,0,0.000000,PI,FIFO,true,PI_FIFO
0.190021,0,0,5277.562000,20.706000,0.000000,0.000000,0.000000,0,0.000000,PI,FIFO,true,PI_FIFO
0.200019,0,0,9998.106000,18.812000,0.000000,0.000000,0.000000,0,0.000000,PI,FIFO,true,PI_FIFO
0.210033,0,0,10014.587000,33.399000,0.000000,0.000000,0.000000,0,0.000000,PI,FIFO,true,PI_FIFO
0.220017,0,0,9983.419000,16.818000,0.000000,0.000000,0.000000,0,0.000000,PI,FIFO,true,PI_FIFO
