elapsed_s,step_index,pwm_percent,loop_period_us,late_us,raw_rpm,filtered_rpm,target_rpm,pwm,error_rpm,intended_mode,intended_fifo,fifo_active,condition
0.010069,-1,22,10068.559000,68.559000,0.000000,0.000000,460.632622,911,460.632622,PI,NoFIFO,false,PI_NoFIFO
0.020060,-1,26,9991.854000,60.413000,0.000000,0.000000,461.260400,1102,461.260400,PI,NoFIFO,false,PI_NoFIFO
0.030064,-1,31,10004.021000,64.434000,0.002989,0.000448,461.888892,1294,461.885902,PI,NoFIFO,false,PI_NoFIFO
0.040059,-1,21,9994.447000,58.881000,298.713235,44.807366,462.516708,895,163.803473,PI,NoFIFO,false,PI_NoFIFO
0.050060,-1,17,10000.688000,59.569000,419.358847,100.990089,463.144817,725,43.785970,PI,NoFIFO,false,PI_NoFIFO
0.060058,-1,17,9998.670000,58.239000,434.698609,151.046367,463.772675,714,29.074066,PI,NoFIFO,false,PI_NoFIFO
0.070062,-1,17,10003.354000,61.593000,429.838320,192.865160,464.400678,737,34.562358,PI,NoFIFO,false,PI_NoFIFO
0.080063,-1,18,10001.725000,63.318000,417.491341,226.559087,465.028405,777,47.537064,PI,NoFIFO,false,PI_NoFIFO
0.090060,-1,19,9996.966000,60.284000,415.039062,254.831083,465.655635,803,50.616573,PI,NoFIFO,false,PI_NoFIFO
0.100060,-1,19,9999.355000,59.639000,419.358847,279.510248,466.282792,816,46.923945,PI,NoFIFO,false,PI_NoFIFO
0.110060,-1,20,9999.910000,59.549000,426.567240,301.568797,466.909735,823,40.342496,PI,NoFIFO,false,PI_NoFIFO
0.120062,-1,19,10002.225000,61.774000,442.436662,322.698976,467.536551,809,25.099889,PI,NoFIFO,false,PI_NoFIFO
0.130060,-1,19,9997.984000,59.758000,450.288184,341.837358,468.162803,805,17.874619,PI,NoFIFO,false,PI_NoFIFO
0.140059,-1,19,9999.651000,59.409000,459.085052,359.424512,468.788838,797,9.703786,PI,NoFIFO,false,PI_NoFIFO
0.150059,-1,19,9999.910000,59.319000,462.962963,374.955279,469.414542,794,6.451579,PI,NoFIFO,false,PI_NoFIFO
0.160059,-1,19,10000.169000,59.488000,462.278107,388.053703,470.039890,799,7.761784,PI,NoFIFO,false,PI_NoFIFO
0.170059,-1,19,9999.910000,59.398000,462.734452,399.255816,470.664826,803,7.930374,PI,NoFIFO,false,PI_NoFIFO
0.180063,-1,20,10003.911000,63.309000,455.097087,407.632006,471.289591,822,16.192504,PI,NoFIFO,false,PI_NoFIFO
0.190060,-1,20,9996.891000,60.200000,453.475051,414.508463,471.913472,834,18.438421,PI,NoFIFO,false,PI_NoFIFO
0.200059,-1,20,9999.170000,59.370000,452.025072,420.135955,472.537024,845,20.511952,PI,NoFIFO,false,PI_NoFIFO
0.210062,-1,20,10002.687000,62.057000,453.244275,425.102203,473.160301,853,19.916026,PI,NoFIFO,false,PI_NoFIFO
0.220059,-1,20,9997.281000,59.338000,462.734452,430.747040,473.782722,843,11.048270,PI,NoFIFO,false,PI_NoFIFO
0.230062,-1,20,10002.521000,61.859000,466.185977,436.062881,474.404924,842,8.218947,PI,NoFIFO,false,PI_NoFIFO
0.240059,-1,20,9997.540000,59.399000,471.105528,441.319278,475.026249,837,3.920721,PI,NoFIFO,false,PI_NoFIFO
0.250063,-1,20,10003.225000,62.624000,479.049566,446.978821,475.647333,824,-3.402233,PI,NoFIFO,false,PI_NoFIFO
0.260060,-1,20,9996.966000,59.590000,480.886663,452.064997,476.267411,820,-4.619253,PI,NoFIFO,false,PI_NoFIFO
0.270060,-1,19,10000.002000,59.592000,485.152785,457.028165,476.887035,811,-8.265750,PI,NoFIFO,false,PI_NoFIFO
0.280059,-1,19,9999.781000,59.373000,485.631475,461.318662,477.505979,808,-8.125496,PI,NoFIFO,false,PI_NoFIFO
0.290059,-1,20,9999.799000,59.172000,478.316327,463.868312,478.124233,821,-0.192094,PI,NoFIFO,false,PI_NoFIFO
0.300059,-1,20,10000.169000,59.341000,476.856562,465.816549,478.741794,825,1.885232,PI,NoFIFO,false,PI_NoFIFO
0.310068,-1,20,10008.207000,67.548000,470.992823,466.592990,479.359111,838,8.366288,PI,NoFIFO,false,PI_NoFIFO
0.320060,-1,20,9992.854000,60.402000,466.650075,466.601553,479.974717,851,13.324642,PI,NoFIFO,false,PI_NoFIFO
0.330060,-1,20,9999.244000,59.646000,468.047928,466.818509,480.589928,855,12.542000,PI,NoFIFO,false,PI_NoFIFO
0.340060,-1,21,10000.502000,60.148000,468.984492,467.143407,481.204404,860,12.219912,PI,NoFIFO,false,PI_NoFIFO
0.350060,-1,20,9999.651000,59.799000,472.689076,467.975257,481.817991,859,9.128915,PI,NoFIFO,false,PI_NoFIFO
0.360060,-1,20,9999.707000,59.506000,478.560490,469.563042,482.430720,852,3.870230,PI,NoFIFO,false,PI_NoFIFO
0.370059,-1,20,9999.965000,59.471000,482.536765,471.509100,483.042579,847,0.505814,PI,NoFIFO,false,PI_NoFIFO
0.380059,-1,20,9999.948000,59.419000,490.715354,474.390038,483.653527,832,-7.061827,PI,NoFIFO,false,PI_NoFIFO
0.390060,-1,20,10000.965000,60.384000,492.187500,477.059658,484.263604,828,-7.923896,PI,NoFIFO,false,PI_NoFIFO
0.400058,-1,20,9997.614000,57.998000,494.164157,479.625332,484.872518,822,-9.291638,PI,NoFIFO,false,PI_NoFIFO
0.410059,-1,20,10001.392000,59.390000,493.668506,481.731808,485.480681,820,-8.187825,PI,NoFIFO,false,PI_NoFIFO
0.420059,-1,20,9999.873000,59.263000,488.281250,482.714225,486.087745,829,-2.193505,PI,NoFIFO,false,PI_NoFIFO
0.430059,-1,20,10000.058000,59.321000,480.182927,482.334530,486.693791,845,6.510864,PI,NoFIFO,false,PI_NoFIFO
0.440059,-1,20,9999.873000,59.194000,477.828746,481.658662,487.298772,853,9.470025,PI,NoFIFO,false,PI_NoFIFO
0.450059,-1,21,10000.003000,59.197000,473.245835,480.396738,487.902682,868,14.656847,PI,NoFIFO,false,PI_NoFIFO
0.460059,-1,21,9999.910000,59.107000,474.203338,479.467728,488.505486,873,14.302148,PI,NoFIFO,false,PI_NoFIFO
0.470059,-1,21,10000.114000,59.221000,480.886663,479.680569,489.107177,867,8.220513,PI,NoFIFO,false,PI_NoFIFO
0.480059,-1,21,9999.743000,58.964000,482.064153,480.038106,489.707696,869,7.643543,PI,NoFIFO,false,PI_NoFIFO
0.490059,-1,21,10000.392000,59.356000,487.073231,481.093375,490.307081,863,3.233850,PI,NoFIFO,false,PI_NoFIFO
0.500059,-1,20,9999.966000,59.322000,496.406959,483.390413,490.905244,848,-5.501715,PI,NoFIFO,false,PI_NoFIFO
