elapsed_s,step_index,pwm_percent,loop_period_us,late_us,raw_rpm,filtered_rpm,target_rpm,pwm,error_rpm,intended_mode,intended_fifo,fifo_active,condition
0.010089,-1,22,10088.897000,88.897000,0.000000,0.000000,463.168990,917,463.168990,PI,NoFIFO,false,PI_NoFIFO
0.020088,-1,27,9999.380000,88.277000,0.000000,0.000000,466.306730,1114,466.306730,PI,NoFIFO,false,PI_NoFIFO
0.030077,-1,32,9989.010000,77.287000,0.000368,0.000055,469.435004,1312,469.434635,PI,NoFIFO,false,PI_NoFIFO
0.040077,-1,28,9999.269000,76.556000,174.534574,26.180233,472.557184,1167,298.022610,PI,NoFIFO,false,PI_NoFIFO
0.050084,-1,30,10007.583000,84.139000,208.539298,53.534093,475.669554,1229,267.130255,PI,NoFIFO,false,PI_NoFIFO
0.060073,-1,32,9988.584000,72.723000,225.903614,79.389521,478.760573,1311,252.856958,PI,NoFIFO,false,PI_NoFIFO
0.070075,-1,33,10001.899000,74.622000,243.380062,103.988102,481.837202,1386,238.457140,PI,NoFIFO,false,PI_NoFIFO
0.080077,-1,35,10002.102000,76.724000,256.657541,126.888518,484.892334,1465,228.234793,PI,NoFIFO,false,PI_NoFIFO
0.090072,-1,37,9995.288000,72.012000,267.024858,147.908969,487.920835,1544,220.895977,PI,NoFIFO,false,PI_NoFIFO
0.100071,-1,39,9999.417000,71.429000,273.262332,166.711973,490.923040,1629,217.660709,PI,NoFIFO,false,PI_NoFIFO
0.110075,-1,42,10003.361000,74.790000,275.146745,182.977189,493.895898,1721,218.749153,PI,NoFIFO,false,PI_NoFIFO
0.120074,-1,43,9999.343000,74.133000,289.902474,199.015982,496.834108,1788,206.931635,PI,NoFIFO,false,PI_NoFIFO
0.130074,-1,45,10000.158000,74.291000,291.478236,212.885320,499.736208,1876,208.257971,PI,NoFIFO,false,PI_NoFIFO
0.140075,-1,47,10000.287000,74.578000,295.608108,225.293738,502.599128,1959,206.991019,PI,NoFIFO,false,PI_NoFIFO
0.150074,-1,49,9999.047000,73.625000,303.071121,236.960346,505.419658,2035,202.348537,PI,NoFIFO,false,PI_NoFIFO
0.160083,-1,51,10009.399000,83.024000,309.260132,247.805314,508.198222,2112,198.938090,PI,NoFIFO,false,PI_NoFIFO
0.170075,-1,53,9991.713000,74.737000,319.211629,258.516261,510.924350,2180,191.712721,PI,NoFIFO,false,PI_NoFIFO
0.180074,-1,54,9998.862000,73.599000,328.125000,268.957572,513.602200,2246,185.477200,PI,NoFIFO,false,PI_NoFIFO
0.190074,-1,56,10000.343000,73.942000,331.774520,278.380114,516.227549,2321,184.453029,PI,NoFIFO,false,PI_NoFIFO
0.200073,-1,58,9999.324000,73.266000,340.826466,287.747067,518.797145,2384,177.970679,PI,NoFIFO,false,PI_NoFIFO
0.210073,-1,60,10000.102000,73.368000,336.711134,295.091677,521.308916,2470,184.597782,PI,NoFIFO,false,PI_NoFIFO
0.220073,-1,62,9999.751000,73.119000,342.820575,302.251012,523.760097,2539,180.939521,PI,NoFIFO,false,PI_NoFIFO
0.230073,-1,63,9999.676000,72.795000,342.868339,308.343611,526.148339,2619,183.280001,PI,NoFIFO,false,PI_NoFIFO
