elapsed_s,step_index,pwm_percent,loop_period_us,late_us,raw_rpm,filtered_rpm,target_rpm,pwm,error_rpm,intended_mode,intended_fifo,fifo_active,condition
0.010087,-1,22,10086.881000,86.881000,0.000000,0.000000,463.168357,917,463.168357,PI,NoFIFO,false,PI_NoFIFO
0.020088,-1,27,10001.585000,88.466000,0.000395,0.000059,466.306789,1114,466.306394,PI,NoFIFO,false,PI_NoFIFO
0.030073,-1,24,9984.177000,72.643000,150.240385,22.536108,469.433551,1015,319.193167,PI,NoFIFO,false,PI_NoFIFO
0.040076,-1,20,10003.195000,75.838000,299.657534,64.104322,472.556960,858,172.899426,PI,NoFIFO,false,PI_NoFIFO
0.050070,-1,18,9993.751000,69.589000,385.010267,112.240214,475.665039,766,90.654772,PI,NoFIFO,false,PI_NoFIFO
0.060075,-1,17,10005.418000,75.007000,423.502140,158.929503,478.761278,734,55.259138,PI,NoFIFO,false,PI_NoFIFO
0.070085,-1,18,10010.344000,85.351000,431.806551,199.861060,481.840491,746,50.033941,PI,NoFIFO,false,PI_NoFIFO
0.080074,-1,18,9988.417000,73.768000,429.010116,234.233418,484.891435,778,55.881319,PI,NoFIFO,false,PI_NoFIFO
0.090103,-1,19,10029.492000,103.260000,430.265171,263.638181,487.930261,805,57.665090,PI,NoFIFO,false,PI_NoFIFO
0.100082,-1,20,9978.844000,82.104000,427.363244,288.196941,490.926230,840,63.562986,PI,NoFIFO,false,PI_NoFIFO
0.110073,-1,20,9991.066000,73.170000,435.450820,310.285022,493.895419,857,58.444600,PI,NoFIFO,false,PI_NoFIFO
0.120083,-1,21,10009.491000,82.661000,439.934303,329.732414,496.836599,878,56.902296,PI,NoFIFO,false,PI_NoFIFO
0.130072,-1,21,9989.825000,72.486000,449.520511,347.700629,499.735687,888,50.215176,PI,NoFIFO,false,PI_NoFIFO
0.140069,-1,21,9996.381000,68.867000,463.017404,364.998145,502.597504,888,39.580101,PI,NoFIFO,false,PI_NoFIFO
0.150069,-1,21,10000.029000,68.896000,471.230159,380.932947,505.418334,893,34.188175,PI,NoFIFO,false,PI_NoFIFO
0.160069,-1,21,9999.899000,68.795000,484.837800,396.518675,508.194306,886,23.356506,PI,NoFIFO,false,PI_NoFIFO
0.170077,-1,21,10008.288000,77.083000,493.421053,411.054032,510.924984,884,17.503931,PI,NoFIFO,false,PI_NoFIFO
0.180072,-1,21,9995.048000,72.131000,502.313687,424.742980,513.601811,879,11.288124,PI,NoFIFO,false,PI_NoFIFO
0.190068,-1,21,9995.602000,67.733000,509.029745,437.385995,516.225936,875,7.196191,PI,NoFIFO,false,PI_NoFIFO
0.200071,-1,21,10003.640000,71.373000,514.262205,448.917426,518.796664,873,4.534459,PI,NoFIFO,false,PI_NoFIFO
0.210068,-1,21,9996.714000,68.087000,512.660485,458.478885,521.307606,883,8.647120,PI,NoFIFO,false,PI_NoFIFO
0.220072,-1,21,10003.955000,72.042000,511.177754,466.383715,523.759836,894,12.582083,PI,NoFIFO,false,PI_NoFIFO
0.230074,-1,22,10001.862000,73.904000,507.352941,472.529099,526.148601,912,18.795659,PI,NoFIFO,false,PI_NoFIFO
0.240075,-1,22,10001.474000,75.378000,501.580739,476.886845,528.471971,936,26.891232,PI,NoFIFO,false,PI_NoFIFO
0.250089,-1,22,10013.769000,89.147000,506.626351,481.347771,530.730479,941,24.104128,PI,NoFIFO,false,PI_NoFIFO
0.260085,-1,23,9995.529000,84.676000,513.229927,486.130095,532.915070,942,19.685143,PI,NoFIFO,false,PI_NoFIFO
0.270077,-1,23,9992.658000,77.334000,518.828200,491.034810,535.027171,944,16.198971,PI,NoFIFO,false,PI_NoFIFO
0.280075,-1,22,9997.474000,74.808000,526.416539,496.342070,537.066303,939,10.649764,PI,NoFIFO,false,PI_NoFIFO
0.290074,-1,22,9999.288000,74.096000,537.762906,502.555195,539.029766,925,1.266860,PI,NoFIFO,false,PI_NoFIFO
0.300074,-1,22,9999.566000,73.662000,542.654355,508.570069,540.915300,920,-1.739055,PI,NoFIFO,false,PI_NoFIFO
0.310075,-1,22,10001.103000,74.765000,546.838544,514.310340,542.721257,914,-4.117287,PI,NoFIFO,false,PI_NoFIFO
0.320095,-1,22,10019.788000,94.553000,549.121406,519.532000,544.448705,912,-4.672700,PI,NoFIFO,false,PI_NoFIFO
0.330083,-1,22,9988.288000,82.841000,544.045961,523.209094,546.087448,923,2.041487,PI,NoFIFO,false,PI_NoFIFO
0.340074,-1,22,9991.103000,73.944000,536.829776,525.252197,547.641857,941,10.812081,PI,NoFIFO,false,PI_NoFIFO
0.350074,-1,23,9999.806000,73.750000,531.412376,526.176224,549.111169,959,17.698793,PI,NoFIFO,false,PI_NoFIFO
0.360071,-1,23,9996.918000,70.668000,534.115572,527.367126,550.492156,964,16.376583,PI,NoFIFO,false,PI_NoFIFO
0.370092,-1,23,10021.121000,91.789000,533.640710,528.308164,551.786911,974,18.146201,PI,NoFIFO,false,PI_NoFIFO
0.380093,-1,23,10001.270000,93.059000,539.102933,529.927379,552.988407,973,13.885474,PI,NoFIFO,false,PI_NoFIFO
0.390097,-1,23,10004.177000,97.236000,547.506739,532.564283,554.098420,965,6.591682,PI,NoFIFO,false,PI_NoFIFO
0.400080,-1,23,9982.992000,80.228000,557.747025,536.341694,555.113437,949,-2.633588,PI,NoFIFO,false,PI_NoFIFO
0.410081,-1,23,10000.695000,80.923000,560.356029,539.943844,556.036458,945,-4.319571,PI,NoFIFO,false,PI_NoFIFO
0.420076,-1,22,9994.585000,75.508000,564.486994,543.625317,556.864213,936,-7.622782,PI,NoFIFO,false,PI_NoFIFO
0.430074,-1,22,9998.917000,74.425000,565.351337,546.884220,557.596774,933,-7.754563,PI,NoFIFO,false,PI_NoFIFO
0.440070,-1,22,9996.066000,70.491000,561.511739,549.078348,558.232872,939,-3.278867,PI,NoFIFO,false,PI_NoFIFO
0.450073,-1,23,10002.029000,72.520000,550.930460,549.356165,558.772396,959,7.841935,PI,NoFIFO,false,PI_NoFIFO
0.460072,-1,23,9999.047000,71.567000,544.482577,548.625127,559.214286,976,14.731709,PI,NoFIFO,false,PI_NoFIFO
0.470071,-1,23,9999.251000,70.818000,545.058140,548.090078,559.558288,982,14.500148,PI,NoFIFO,false,PI_NoFIFO
0.480071,-1,24,9999.770000,70.588000,547.483315,547.999064,559.804063,983,12.320748,PI,NoFIFO,false,PI_NoFIFO
0.490071,-1,23,10000.714000,71.302000,553.032091,548.754018,559.951357,978,6.919267,PI,NoFIFO,false,PI_NoFIFO
0.500071,-1,23,9999.491000,70.793000,556.974810,549.987137,559.999998,973,3.025188,PI,NoFIFO,false,PI_NoFIFO
0.510071,-1,23,10000.066000,70.859000,568.181818,552.716339,559.949954,952,-8.231864,PI,NoFIFO,false,PI_NoFIFO
0.520070,-1,23,9999.510000,70.369000,570.042095,555.315202,559.801282,945,-10.240813,PI,NoFIFO,false,PI_NoFIFO
0.530067,-1,22,9996.547000,66.916000,569.436775,557.433438,559.554216,941,-9.882559,PI,NoFIFO,false,PI_NoFIFO
0.540073,-1,22,10006.584000,73.500000,568.446828,559.085447,559.208573,938,-9.238255,PI,NoFIFO,false,PI_NoFIFO
0.550075,-1,23,10001.158000,74.658000,564.141138,559.843800,558.765162,942,-5.375976,PI,NoFIFO,false,PI_NoFIFO
0.560074,-1,23,9999.825000,74.483000,557.015539,559.419561,558.224338,953,1.208798,PI,NoFIFO,false,PI_NoFIFO
0.570088,-1,23,10013.140000,87.623000,544.756502,557.220102,557.585668,976,12.829165,PI,NoFIFO,false,PI_NoFIFO
0.580076,-1,23,9987.936000,75.559000,545.819748,555.510049,556.852410,978,11.032662,PI,NoFIFO,false,PI_NoFIFO
0.590072,-1,23,9995.973000,71.532000,550.293490,554.727565,556.023097,972,5.729607,PI,NoFIFO,false,PI_NoFIFO
0.600075,-1,23,10003.584000,75.116000,552.771226,554.434115,555.098357,968,2.327130,PI,NoFIFO,false,PI_NoFIFO
0.610072,-1,23,9996.436000,71.552000,556.882748,554.801410,554.080460,959,-2.802288,PI,NoFIFO,false,PI_NoFIFO
0.620076,-1,23,10004.566000,76.118000,562.320058,555.929207,552.968843,944,-9.351215,PI,NoFIFO,false,PI_NoFIFO
0.630070,-1,22,9994.139000,70.257000,568.871359,557.870530,551.766695,925,-17.104665,PI,NoFIFO,false,PI_NoFIFO
0.640074,-1,22,10004.085000,74.342000,567.434211,559.305082,550.472759,919,-16.961452,PI,NoFIFO,false,PI_NoFIFO
0.650071,-1,22,9996.343000,70.685000,559.634670,559.354520,549.090569,924,-10.544102,PI,NoFIFO,false,PI_NoFIFO
0.660074,-1,22,10003.510000,74.195000,553.168291,558.426586,547.619436,930,-5.548855,PI,NoFIFO,false,PI_NoFIFO
0.670070,-1,22,9995.843000,70.038000,545.058140,556.421319,546.063000,940,1.004861,PI,NoFIFO,false,PI_NoFIFO
0.680074,-1,23,10003.918000,73.956000,538.793103,553.777087,544.420341,950,5.627237,PI,NoFIFO,false,PI_NoFIFO
