elapsed_s,step_index,pwm_percent,loop_period_us,late_us,raw_rpm,filtered_rpm,target_rpm,pwm,error_rpm,intended_mode,intended_fifo,fifo_active,condition
0.010069,-1,22,10068.551000,68.551000,0.000000,0.000000,466.322038,922,466.322038,PI,NoFIFO,false,PI_NoFIFO
0.020064,-1,27,9995.441000,63.992000,0.000000,0.000000,472.573213,1127,472.573213,PI,NoFIFO,false,PI_NoFIFO
0.030060,-1,32,9996.330000,60.322000,0.000361,0.000054,478.775360,1334,478.774999,PI,NoFIFO,false,PI_NoFIFO
0.040060,-1,29,9999.201000,59.523000,172.334559,25.850230,484.905211,1203,312.570653,PI,NoFIFO,false,PI_NoFIFO
0.050059,-1,30,9999.923000,59.446000,217.237384,54.558303,490.937220,1255,273.699836,PI,NoFIFO,false,PI_NoFIFO
0.060060,-1,32,10000.126000,59.572000,234.962406,81.618918,496.847254,1345,261.884848,PI,NoFIFO,false,PI_NoFIFO
0.070061,-1,34,10001.089000,60.661000,254.127649,107.495228,502.612413,1426,248.484764,PI,NoFIFO,false,PI_NoFIFO
0.080062,-1,37,10001.516000,62.177000,262.850467,130.798514,508.209598,1522,245.359131,PI,NoFIFO,false,PI_NoFIFO
0.090059,-1,39,9996.830000,59.007000,271.096215,151.843169,513.613979,1618,242.517765,PI,NoFIFO,false,PI_NoFIFO
0.100059,-1,42,10000.330000,59.337000,274.658203,170.265424,518.808683,1721,244.150480,PI,NoFIFO,false,PI_NoFIFO
0.110058,-1,44,9998.941000,58.278000,277.777778,186.392277,523.770609,1825,245.992831,PI,NoFIFO,false,PI_NoFIFO
0.120059,-1,46,10001.145000,59.423000,290.998448,202.083203,528.481923,1910,237.483475,PI,NoFIFO,false,PI_NoFIFO
0.130058,-1,48,9999.015000,58.438000,296.966374,216.315679,532.921993,2005,235.955619,PI,NoFIFO,false,PI_NoFIFO
0.140061,-1,51,10002.331000,60.769000,305.298096,229.663041,537.075657,2094,231.777561,PI,NoFIFO,false,PI_NoFIFO
0.150059,-1,53,9997.867000,58.636000,317.950581,242.906172,540.923349,2172,222.972768,PI,NoFIFO,false,PI_NoFIFO
0.160059,-1,55,10000.756000,59.392000,319.546408,254.402208,544.452782,2268,224.906374,PI,NoFIFO,false,PI_NoFIFO
0.170058,-1,57,9998.904000,58.296000,332.615307,266.134172,547.648308,2341,215.033001,PI,NoFIFO,false,PI_NoFIFO
0.180060,-1,59,10001.219000,59.515000,336.262554,276.653430,550.498621,2428,214.236067,PI,NoFIFO,false,PI_NoFIFO
0.190063,-1,61,10003.700000,63.215000,341.618948,286.398257,552.992263,2511,211.373314,PI,NoFIFO,false,PI_NoFIFO
0.200060,-1,62,9996.682000,59.897000,353.506787,296.464537,555.117275,2579,201.610487,PI,NoFIFO,false,PI_NoFIFO
0.210059,-1,65,9999.349000,59.246000,355.281857,305.287135,556.867567,2662,201.585710,PI,NoFIFO,false,PI_NoFIFO
0.220062,-1,67,10002.867000,62.113000,355.293077,312.788026,558.236030,2748,202.942953,PI,NoFIFO,false,PI_NoFIFO
0.230060,-1,68,9997.460000,59.573000,360.947125,320.011891,559.216155,2822,198.269029,PI,NoFIFO,false,PI_NoFIFO
0.240060,-1,70,10000.034000,59.607000,372.023810,327.813679,559.805017,2883,187.781208,PI,NoFIFO,false,PI_NoFIFO
0.250071,-1,72,10011.533000,71.140000,369.094488,334.005800,559.999990,2967,190.905502,PI,NoFIFO,false,PI_NoFIFO
0.260064,-1,74,9993.220000,64.360000,373.593530,339.943960,559.800126,3036,186.206595,PI,NoFIFO,false,PI_NoFIFO
0.270060,-1,75,9995.515000,59.875000,378.979282,345.799258,559.206748,3101,180.227466,PI,NoFIFO,false,PI_NoFIFO
0.280059,-1,77,9999.386000,59.261000,387.556842,352.062896,558.221741,3157,170.664899,PI,NoFIFO,false,PI_NoFIFO
0.290058,-1,78,9998.811000,58.072000,387.246088,357.340375,556.849236,3225,169.603147,PI,NoFIFO,false,PI_NoFIFO
0.300060,-1,80,10002.090000,60.162000,385.010267,361.490858,555.093964,3296,170.083697,PI,NoFIFO,false,PI_NoFIFO
0.310059,-1,82,9999.163000,59.325000,384.777885,364.983912,552.963920,3362,168.186035,PI,NoFIFO,false,PI_NoFIFO
0.320059,-1,83,9999.886000,59.211000,394.903117,369.471793,550.466859,3407,155.563741,PI,NoFIFO,false,PI_NoFIFO
0.330059,-1,84,10000.145000,59.356000,405.688047,374.904231,547.612695,3444,141.924648,PI,NoFIFO,false,PI_NoFIFO
0.340065,-1,85,10005.237000,64.593000,406.776417,379.685059,544.411039,3494,137.634623,PI,NoFIFO,false,PI_NoFIFO
0.350060,-1,86,9995.256000,59.849000,413.602941,384.772741,540.879591,3530,127.276649,PI,NoFIFO,false,PI_NoFIFO
0.360059,-1,87,9999.349000,59.198000,418.942403,389.898191,537.027610,3564,118.085207,PI,NoFIFO,false,PI_NoFIFO
0.370058,-1,87,9998.923000,58.121000,429.389313,395.821859,532.871859,3584,103.482546,PI,NoFIFO,false,PI_NoFIFO
0.380060,-1,88,10001.626000,59.747000,423.144433,399.920245,528.427340,3631,105.282907,PI,NoFIFO,false,PI_NoFIFO
0.390059,-1,89,9999.423000,59.170000,421.243135,403.118679,523.713749,3668,102.470613,PI,NoFIFO,false,PI_NoFIFO
0.400059,-1,91,10000.033000,59.203000,406.039461,403.556796,518.748427,3731,112.708966,PI,NoFIFO,false,PI_NoFIFO
0.410060,-1,92,10000.368000,59.571000,399.957338,403.016877,513.551073,3779,113.593735,PI,NoFIFO,false,PI_NoFIFO
0.420059,-1,92,9999.811000,59.382000,404.916159,403.301769,508.142668,3805,103.226510,PI,NoFIFO,false,PI_NoFIFO
0.430059,-1,93,9999.627000,59.009000,403.481013,403.328656,502.544378,3840,99.063366,PI,NoFIFO,false,PI_NoFIFO
0.440059,-1,94,10000.311000,59.320000,400.450878,402.896989,496.777798,3875,96.326920,PI,NoFIFO,false,PI_NoFIFO
0.450059,-1,95,9999.978000,59.298000,398.437500,402.228066,490.866263,3907,92.428763,PI,NoFIFO,false,PI_NoFIFO
0.460059,-1,95,9999.942000,59.240000,402.056004,402.202257,484.832935,3926,82.776931,PI,NoFIFO,false,PI_NoFIFO
0.470064,-1,96,10005.089000,64.329000,401.650706,402.119524,478.698427,3949,77.047721,PI,NoFIFO,false,PI_NoFIFO
0.480063,-1,96,9998.534000,62.863000,402.258960,402.140439,472.494136,3967,70.235176,PI,NoFIFO,false,PI_NoFIFO
0.490060,-1,97,9996.997000,59.860000,399.636409,401.764835,466.241515,3989,66.605105,PI,NoFIFO,false,PI_NoFIFO
0.500060,-1,97,9999.978000,59.838000,408.991760,402.848874,459.962403,3986,50.970643,PI,NoFIFO,false,PI_NoFIFO
0.510059,-1,97,9999.441000,59.279000,409.915123,403.908811,453.683776,3993,43.768652,PI,NoFIFO,false,PI_NoFIFO
0.520059,-1,97,9999.941000,59.220000,411.786237,405.090425,447.429762,3995,35.643525,PI,NoFIFO,false,PI_NoFIFO
0.530059,-1,97,9999.868000,59.088000,405.328077,405.126073,441.225401,4010,35.897324,PI,NoFIFO,false,PI_NoFIFO
0.540064,-1,97,10004.533000,63.621000,414.823009,406.580613,435.092295,3994,20.269286,PI,NoFIFO,false,PI_NoFIFO
0.550066,-1,97,10002.293000,65.914000,421.243135,408.779992,429.058915,3977,7.815780,PI,NoFIFO,false,PI_NoFIFO
0.560060,-1,97,9994.257000,60.171000,416.461007,409.932144,423.152396,3978,6.691389,PI,NoFIFO,false,PI_NoFIFO
0.570060,-1,97,9999.478000,59.649000,412.995595,410.391661,417.388162,3977,4.392567,PI,NoFIFO,false,PI_NoFIFO
0.580060,-1,97,9999.997000,59.646000,408.026114,410.036829,411.791795,3977,3.765681,PI,NoFIFO,false,PI_NoFIFO
0.590060,-1,96,10000.404000,60.050000,411.786237,410.299240,406.385467,3961,-5.400770,PI,NoFIFO,false,PI_NoFIFO
0.600060,-1,96,9999.460000,59.510000,416.461007,411.223505,401.191229,3939,-15.269778,PI,NoFIFO,false,PI_NoFIFO
0.610060,-1,95,10000.201000,59.711000,428.952720,413.882888,396.228698,3898,-32.724022,PI,NoFIFO,false,PI_NoFIFO
0.620059,-1,94,9999.756000,59.467000,438.515510,417.577781,391.518057,3856,-46.997453,PI,NoFIFO,false,PI_NoFIFO
0.630060,-1,93,10000.108000,59.575000,446.204910,421.871850,387.077518,3813,-59.127391,PI,NoFIFO,false,PI_NoFIFO
0.640059,-1,92,9999.886000,59.461000,442.656561,424.989557,382.924867,3787,-59.731694,PI,NoFIFO,false,PI_NoFIFO
0.650060,-1,92,10000.182000,59.643000,435.146983,426.513171,379.076279,3770,-56.070704,PI,NoFIFO,false,PI_NoFIFO
0.660059,-1,90,9999.589000,59.232000,443.052930,428.994135,375.547272,3724,-67.505658,PI,NoFIFO,false,PI_NoFIFO
0.670060,-1,90,10000.516000,59.748000,439.858258,430.623753,372.351253,3697,-67.507005,PI,NoFIFO,false,PI_NoFIFO
0.680060,-1,88,9999.904000,59.652000,455.562660,434.364589,369.501343,3632,-86.061317,PI,NoFIFO,false,PI_NoFIFO
0.690059,-1,87,9999.682000,59.334000,467.581047,439.347058,367.008634,3568,-100.572413,PI,NoFIFO,false,PI_NoFIFO
0.700059,-1,86,9999.830000,59.164000,455.760817,441.809122,364.882868,3546,-90.877949,PI,NoFIFO,false,PI_NoFIFO
0.710059,-1,85,10000.164000,59.328000,456.262807,443.977175,363.132420,3504,-93.130387,PI,NoFIFO,false,PI_NoFIFO
0.720059,-1,83,9999.885000,59.213000,474.855282,448.608891,361.764310,3426,-113.090972,PI,NoFIFO,false,PI_NoFIFO
0.730060,-1,81,10000.534000,59.747000,486.507525,454.293686,360.783832,3354,-125.723693,PI,NoFIFO,false,PI_NoFIFO
0.740062,-1,81,10002.090000,61.837000,470.868910,456.779969,360.194895,3332,-110.674015,PI,NoFIFO,false,PI_NoFIFO
0.750060,-1,81,9997.812000,59.649000,454.876274,456.494415,360.000007,3318,-94.876267,PI,NoFIFO,false,PI_NoFIFO
