Time_s,Raw_RPM,Revolutions
2.03e-07,-0,69
0.0100187,1437.5,69
0.0200232,1375,69
0.0300221,1312.5,70
0.0400158,1406.25,70
0.0500555,1406.25,70
0.0600527,1343.75,70
0.0700621,1406.25,71
0.0800237,1468.75,71
0.0900135,1437.5,71
0.100018,1406.25,71
0.110032,1250,72
0.120013,1468.75,72
0.130022,1343.75,72
0.140017,1437.5,72
0.150016,1406.25,72
0.160018,1437.5,73
0.170021,1281.25,73
0.180016,1406.25,73
0.190013,1406.25,73
0.200026,1437.5,74
0.210025,1281.25,74
0.220018,1406.25,74
0.230018,1437.5,74
0.24002,1406.25,75
0.250017,1468.75,75
0.260007,1375,75
0.27001,1406.25,75
0.280007,1375,75
0.29001,1406.25,76
0.300011,1406.25,76
0.31001,1375,76
0.32001,1406.25,76
0.330014,1406.25,77
0.340011,1375,77
0.350009,1406.25,77
0.360009,1375,77
0.370009,1406.25,78
0.38001,1406.25,78
0.390009,1375,78
0.40001,1406.25,78
0.410012,1250,78
0.420008,1375,79
0.430009,1406.25,79
0.44001,1375,79
0.450009,1437.5,79
0.46001,1375,80
0.470009,1406.25,80
0.480009,1375,80
0.490009,1406.25,80
0.50001,1375,81
0.510009,1406.25,81
0.520007,1406.25,81
0.530013,1375,81
0.540011,1406.25,82
0.550011,1375,82
0.56001,1406.25,82
0.570009,1375,82
0.58001,1406.25,82
0.590009,1375,83
0.600009,1406.25,83
0.610012,1375,83
0.620011,1406.25,83
0.630009,1406.25,84
0.64001,1375,84
0.65001,1406.25,84
0.66001,1375,84
0.670009,1406.25,85
0.680009,1406.25,85
0.690009,1375,85
0.700009,1406.25,85
0.710009,1375,85
0.720009,1406.25,86
0.730013,1406.25,86
0.740011,1375,86
0.750009,1406.25,86
0.760009,1375,87
0.770009,1406.25,87
0.78001,1375,87
0.790009,1406.25,87
0.800011,1375,88
0.81001,1406.25,88
0.82001,1406.25,88
0.830009,1375,88
0.840009,1406.25,88
0.850009,1375,89
0.860009,1406.25,89
0.870009,1375,89
0.880016,1406.25,89
0.890015,1437.5,90
0.900011,1375,90
0.910009,1406.25,90
0.920009,1375,90
0.930014,1406.25,91
0.940011,1375,91
0.950009,1406.25,91
0.960009,1375,91
0.970009,1406.25,91
0.98001,1375,92
0.990009,1406.25,92
1.00015,1375,92
1.01002,1437.5,92
1.02002,1500,93
1.03001,1531.25,93
1.04001,1562.5,93
1.05001,1593.75,93
1.06001,1468.75,94
1.07001,1656.25,94
1.08001,1625,94
1.09001,1625,95
1.10001,1656.25,95
1.11001,1625,95
1.12001,1656.25,95
1.13001,1656.25,96
1.14001,1656.25,96
1.15001,1656.25,96
1.16001,1656.25,96
1.17001,1656.25,97
1.18001,1656.25,97
1.19001,1625,97
1.20001,1656.25,98
1.21001,1656.25,98
1.22001,1687.5,98
1.23001,1656.25,98
1.24001,1656.25,99
1.25004,1625,99
1.26002,1750,99
1.27001,1500,99
1.28001,1656.25,100
1.29001,1656.25,100
1.30001,1656.25,100
1.31001,1625,101
1.32001,1687.5,101
1.33001,1656.25,101
1.34001,1656.25,101
1.35001,1656.25,102
1.36001,1656.25,102
1.37001,1625,102
1.38001,1656.25,102
1.39001,1656.25,103
1.40001,1656.25,103
1.41001,1656.25,103
1.42001,1656.25,104
1.43001,1656.25,104
1.44001,1625,104
1.45001,1656.25,104
1.46001,1656.25,105
1.47001,1656.25,105
1.48001,1656.25,105
1.49001,1656.25,106
1.50001,1656.25,106
1.51001,1656.25,106
1.52001,1625,106
1.53001,1656.25,107
1.54001,1656.25,107
1.55001,1656.25,107
1.56001,1687.5,107
1.57001,1656.25,108
1.58001,1625,108
1.59001,1656.25,108
1.60001,1656.25,109
1.61001,1656.25,109
1.62001,1656.25,109
1.63001,1656.25,109
1.64001,1625,110
1.65001,1656.25,110
1.66001,1656.25,110
1.67001,1656.25,110
1.68001,1656.25,111
1.69001,1656.25,111
1.70001,1656.25,111
1.71001,1656.25,112
1.72001,1656.25,112
1.73001,1656.25,112
1.74001,1656.25,112
1.75001,1656.25,113
1.76001,1656.25,113
1.77001,1625,113
1.78001,1656.25,114
1.79001,1656.25,114
1.80001,1656.25,114
1.81001,1656.25,114
1.82001,1656.25,115
1.83001,1656.25,115
1.84001,1656.25,115
1.85001,1656.25,115
1.86001,1656.25,116
1.87001,1656.25,116
1.88001,1656.25,116
1.89001,1656.25,117
1.90001,1656.25,117
1.91001,1656.25,117
1.92001,1625,117
1.93003,1531.25,118
1.94001,1687.5,118
1.95002,1656.25,118
1.96001,1656.25,118
1.97001,1656.25,119
1.98001,1656.25,119
1.99001,1625,119
2.00001,1656.25,120
2.01003,1687.5,120
2.02002,1718.75,120
2.03002,1625,120
2.04001,1687.5,121
2.05001,1656.25,121
2.06001,1656.25,121
2.07001,1656.25,122
2.08001,1656.25,122
2.09001,1625,122
2.10001,1656.25,122
2.11001,1656.25,123
2.12001,1656.25,123
2.13001,1656.25,123
2.14002,1656.25,123
2.15001,1656.25,124
2.16001,1687.5,124
2.17002,1468.75,124
2.18001,1687.5,125
2.19001,1656.25,125
2.20001,1656.25,125
2.21001,1656.25,125
2.22001,1625,126
2.23001,1656.25,126
2.24001,1656.25,126
2.25001,1656.25,126
2.26002,1656.25,127
2.27001,1687.5,127
2.28001,1656.25,127
2.29001,1656.25,128
2.30001,1656.25,128
2.31001,1656.25,128
2.32001,1656.25,128
2.33001,1656.25,129
2.34001,1625,129
2.35001,1656.25,129
2.36001,1656.25,129
2.37001,1656.25,130
2.38001,1656.25,130
2.39001,1656.25,130
2.40001,1687.5,131
2.41001,1656.25,131
2.42001,1625,131
2.43001,1656.25,131
2.44001,1656.25,132
2.45001,1656.25,132
2.46001,1656.25,132
2.47001,1656.25,133
2.48001,1656.25,133
2.49001,1656.25,133
2.50001,1656.25,133
2.51001,1625,134
2.52001,1656.25,134
2.53001,1656.25,134
2.54001,1656.25,134
2.55001,1656.25,135
2.56001,1656.25,135
2.57001,1656.25,135
2.58001,1656.25,136
2.59001,1656.25,136
2.60001,1656.25,136
2.61001,1656.25,136
2.62001,1656.25,137
2.63004,1531.25,137
2.64005,1625,137
2.65002,1718.75,137
2.66002,1656.25,138
2.67003,1593.75,138
2.68002,1750,138
2.69001,1656.25,139
2.70001,1656.25,139
2.71001,1656.25,139
2.72001,1625,139
2.73001,1656.25,140
2.74001,1656.25,140
2.75001,1656.25,140
2.76001,1656.25,141
2.77001,1687.5,141
2.78001,1656.25,141
2.79001,1625,141
2.80001,1656.25,142
2.81001,1656.25,142
2.82001,1656.25,142
2.83001,1656.25,142
2.84001,1656.25,143
2.85001,1687.5,143
2.86001,1656.25,143
2.87001,1500,144
2.88001,1718.75,144
2.89001,1656.25,144
2.90001,1687.5,144
2.91002,1687.5,145
2.92001,1687.5,145
2.93002,1500,145
2.94001,1687.5,145
2.95002,1718.75,146
2.96002,1562.5,146
2.97002,1718.75,146
2.98002,1593.75,147
2.99002,1718.75,147
3.00002,1562.5,147
3.01002,1718.75,147
3.02002,1593.75,148
3.03002,1718.75,148
3.04002,1718.75,148
3.05002,1593.75,148
3.06002,1718.75,149
3.07002,1562.5,149
3.08002,1718.75,149
3.09002,1593.75,150
3.10002,1718.75,150
3.11002,1562.5,150
3.12002,1718.75,150
3.13003,1593.75,151
3.14003,1750,151
3.15002,1531.25,151
3.16002,1750,152
3.17002,1562.5,152
3.18002,1718.75,152
3.19002,1562.5,152
3.20002,1750,153
3.21002,1562.5,153
3.22003,1687.5,153
3.23002,1656.25,153
3.24002,1656.25,154
3.25002,1687.5,154
3.26002,1656.25,154
3.27002,1656.25,155
3.28002,1656.25,155
3.29002,1656.25,155
3.30002,1656.25,155
3.31002,1656.25,156
3.32002,1656.25,156
3.33003,1687.5,156
3.34002,1656.25,156
3.35002,1656.25,157
3.36002,1625,157
3.37002,1625,157
3.38002,1625,158
3.39002,1625,158
3.40002,1625,158
3.41002,1812.5,158
3.42002,1656.25,159
3.43002,1625,159
3.44002,1593.75,159
3.45002,1656.25,160
3.46002,1625,160
3.47002,1593.75,160
3.48002,1687.5,160
3.49002,1625,161
3.50002,1843.75,161
3.51002,1625,161
3.52002,1625,161
3.53002,1656.25,162
3.54002,1625,162
3.55002,1625,162
3.56002,1625,163
3.57002,1625,163
3.58002,1812.5,163
3.59002,1625,163
3.60002,1625,164
3.61002,1656.25,164
3.62002,1625,164
3.63002,1625,164
3.64002,1625,165
3.65002,1625,165
3.66002,1812.5,165
3.67002,1625,166
3.68003,1687.5,166
3.69003,1531.25,166
3.70005,1656.25,166
3.71004,1593.75,167
3.72002,1750,167
3.73002,1718.75,167
3.74002,1531.25,168
3.75003,1750,168
3.76002,1562.5,168
3.77002,1718.75,168
3.78002,1718.75,169
3.79002,1531.25,169
3.80002,1718.75,169
3.81002,1718.75,169
3.82002,1562.5,170
3.83002,1687.5,170
3.84002,1562.5,170
3.85002,1718.75,171
3.86002,1750,171
3.87002,1531.25,171
3.88002,1750,171
3.89002,1531.25,172
3.90002,1750,172
3.91002,1562.5,172
3.92002,1750,172
3.93003,1531.25,173
3.94002,1750,173
3.95002,1562.5,173
3.96002,1718.75,174
3.97002,1562.5,174
3.98002,1750,174
3.99002,1718.75,174
