Time_s,Raw_RPM,Revolutions
1.67e-07,0,89
0.0100114,1843.75,89
0.02002,1687.5,90
0.0300098,1843.75,90
0.0400073,1843.75,90
0.050006,1656.25,90
0.0600079,1843.75,91
0.0700072,1843.75,91
0.0800136,1875,91
0.090008,1656.25,92
0.100008,1843.75,92
0.110007,1843.75,92
0.120007,1812.5,93
0.13001,1656.25,93
0.140008,1843.75,93
0.150007,1843.75,93
0.160007,1843.75,94
0.170007,1656.25,94
0.18001,1843.75,94
0.190007,1843.75,95
0.200007,1843.75,95
0.210007,1656.25,95
0.220007,1843.75,96
0.230007,1843.75,96
0.240007,1843.75,96
0.250007,1656.25,96
0.260007,1843.75,97
0.270007,1843.75,97
0.280007,1843.75,97
0.290007,1656.25,98
0.300007,1843.75,98
0.310007,1843.75,98
0.320007,1843.75,99
0.330007,1656.25,99
0.340007,1843.75,99
0.350007,1843.75,99
0.360007,1843.75,100
0.370007,1656.25,100
0.380007,1843.75,100
0.390007,1843.75,101
0.400009,1843.75,101
0.410008,1625,101
0.420007,1843.75,102
0.430007,1843.75,102
0.440007,1843.75,102
0.450007,1843.75,102
0.460007,1656.25,103
0.470007,1843.75,103
0.480007,1843.75,103
0.490007,1843.75,104
0.500007,1656.25,104
0.510007,1843.75,104
0.520007,1843.75,105
0.530009,1843.75,105
0.540008,1656.25,105
0.550007,1843.75,105
0.560007,1843.75,106
0.570007,1812.5,106
0.580007,1687.5,106
0.590007,1812.5,107
0.600007,1843.75,107
0.610007,1843.75,107
0.620007,1656.25,108
0.630007,1843.75,108
0.640009,1843.75,108
0.650008,1843.75,108
0.660007,1656.25,109
0.670007,1843.75,109
0.680014,1843.75,109
0.690008,1843.75,110
0.700008,1656.25,110
0.710007,1843.75,110
0.720007,1875,111
0.730007,1812.5,111
0.74001,1656.25,111
0.750008,1843.75,111
0.760016,1906.25,112
0.77001,1656.25,112
0.780009,1843.75,112
0.790007,1843.75,113
0.800007,1843.75,113
0.810007,1656.25,113
0.820007,1843.75,114
0.830007,1843.75,114
0.840007,1843.75,114
0.850007,1656.25,114
0.860007,1843.75,115
0.870007,1843.75,115
0.880007,1843.75,115
0.890007,1625,116
0.900007,1843.75,116
0.910007,1875,116
0.920007,1812.5,117
0.930007,1656.25,117
0.94001,1843.75,117
0.95001,1875,117
0.960008,1843.75,118
0.970007,1625,118
0.980007,1843.75,118
0.990007,1875,119
1.00014,1843.75,119
1.01002,1687.5,119
1.02001,1968.75,120
1.03001,2000,120
1.04001,1843.75,120
1.05001,2062.5,121
1.06001,2093.75,121
1.07001,2125,121
1.08001,1875,122
1.09001,2125,122
1.10001,2093.75,122
1.11001,2125,123
1.12001,1875,123
1.13001,2125,123
1.14001,2125,124
1.15001,2093.75,124
1.16001,1906.25,124
1.17001,2093.75,125
1.18001,2125,125
1.19001,2093.75,125
1.20001,1906.25,126
1.21001,2125,126
1.22001,2093.75,126
1.23001,2125,127
1.24001,1906.25,127
1.25001,2093.75,127
1.26001,2125,128
1.27001,2093.75,128
1.28001,1906.25,128
1.29001,2125,129
1.30001,2125,129
1.31001,2093.75,129
1.32001,1875,130
1.33001,2125,130
1.34001,2125,130
1.35001,2125,131
1.36001,1875,131
1.37001,2093.75,131
1.38001,2125,132
1.39001,2093.75,132
1.40001,1906.25,133
1.41001,2125,133
1.42001,2093.75,133
1.43001,2125,134
1.44001,1906.25,134
1.45001,2093.75,134
1.46001,2125,135
1.47001,2093.75,135
1.48001,1906.25,135
1.49001,2125,136
1.50001,2093.75,136
1.51001,2125,136
1.52001,1906.25,137
1.53001,2093.75,137
1.54001,2125,137
1.55001,2093.75,138
1.56001,1906.25,138
1.57001,2125,138
1.58001,2093.75,139
1.59001,2125,139
1.60001,1906.25,139
1.61001,2093.75,140
1.62001,2125,140
1.63001,2093.75,140
1.64001,1906.25,141
1.65001,2125,141
1.66001,2093.75,141
1.67001,2125,142
1.68002,1906.25,142
1.69001,2156.25,142
1.70001,2093.75,143
1.71001,1906.25,143
1.72001,2125,143
1.73001,2093.75,144
1.74001,2125,144
1.75001,1906.25,145
1.76002,2125,145
1.77001,2125,145
1.78001,1906.25,146
1.79001,2125,146
1.80001,2125,146
1.81001,1875,147
1.82001,2125,147
1.83001,2125,147
1.84001,2125,148
1.85001,1906.25,148
1.86001,2093.75,148
1.87001,2125,149
1.88001,2093.75,149
1.89001,1906.25,149
1.90001,2125,150
1.91001,2093.75,150
1.92001,2125,150
1.93001,1906.25,151
1.94001,2093.75,151
1.95001,2125,151
1.96001,2093.75,152
1.97001,1906.25,152
1.98001,2093.75,152
1.99001,2125,153
2.00001,2125,153
2.01001,1875,153
2.02001,2125,154
