pwm_percent,samples,mean_raw_rpm,std_raw_rpm,p05_raw_rpm,p95_raw_rpm,clean_samples,clean_mean_raw_rpm,clean_std_raw_rpm,mean_period_us,std_period_us,p95_late_us,max_late_us,late_cycles,timing_outliers,rise_time_s,settling_time_s,overshoot_percent,steady_state_error_rpm
0,798,0.0,0.0,0.0,0.0,782,0.0,0.0,9999.989830827068,813.6161157464859,102.25169999999997,9989.069,798,16,nan,nan,nan,nan
10,800,225.7650670325,14.077824329406642,209.7977192,249.9731255,788,225.82286525888324,14.0921712039986,9999.99978875,394.87639677460936,76.98444999999997,4042.957,800,12,nan,nan,nan,nan
20,800,491.31310872,21.311892439989492,462.716683,516.235068,782,491.31354102557543,21.14739276874909,9999.999115,721.4675399578783,83.83374999999998,9161.664,800,18,nan,nan,nan,nan
30,800,751.81532246875,35.96519725876373,687.4551198,781.236797,783,751.8871473205619,36.06982708122384,10002.39278375,925.9178955771116,71.75710000000001,10632.281,800,17,nan,nan,nan,nan
40,800,1011.4931395775,55.33199942153523,937.02912395,1062.265664,779,1011.7568235070603,55.74767294330091,10000.01124375,639.1082429916463,90.61264999999997,6728.089,800,21,nan,nan,nan,nan
50,799,1273.2057105657072,57.03063341380445,1186.361686,1342.712889,764,1273.5566938259162,55.75754117479765,10000.003351689613,1685.6763001237828,301.695899999994,26040.312,799,35,nan,nan,nan,nan
60,800,1533.0812547862502,90.43815017005375,1407.4715308,1639.2788074999999,737,1531.9217468561737,87.76665455358415,10000.0065925,639.5718684856157,849.3139999999988,6577.726,800,63,nan,nan,nan,nan
70,800,1792.095597445,116.40036150075487,1638.1159733499999,1915.8103577,750,1792.6861426826665,112.89213847529183,9999.96495125,547.8941935261461,685.1114,4029.293,800,50,nan,nan,nan,nan
80,800,2055.4807287475,103.57455903462959,1890.869584,2135.1620439,777,2056.0477593166024,103.9464014309159,9999.999583750001,889.7189420827226,87.42314999999996,10284.086,800,23,nan,nan,nan,nan
90,800,2306.82853219625,104.86936707848255,2123.544523,2406.281313,778,2307.032696377892,106.02939783755781,9998.039291250001,1278.937852600021,130.23284999999964,27202.685,800,22,nan,nan,nan,nan
100,800,2483.97819972875,137.5282223030913,2281.0164808,2623.022241,779,2484.5835882901156,133.82839328047544,10000.0000325,1223.5912274171292,91.20964999999998,17392.587,800,21,nan,nan,nan,nan
