pwm_percent,step_index,target_rpm,samples,mean_raw_rpm,std_raw_rpm,p05_raw_rpm,p95_raw_rpm,clean_samples,clean_mean_raw_rpm,clean_std_raw_rpm,mean_period_us,std_period_us,rms_period_us,p95_abs_jitter_us,p99_abs_jitter_us,cv_period,p95_late_us,max_late_us,late_cycles,timing_outliers,intended_mode,intended_fifo,fifo_active,condition,rise_time_s,settling_time_s,overshoot_percent,steady_state_error_rpm
0,0,0.0,798,0.0,0.0,0.0,0.0,798,0.0,0.0,10000.001117794487,5.996692011033338,5.992933507366687,13.620067543859385,17.55835927318186,0.0005992932837479959,29.994549999999986,44.392,798,0,,,,,nan,nan,nan,nan
10,1,100.0,800,99.69632133125,16.309765890874694,62.499788,124.99842425,800,99.69632133125,16.309765890874694,10000.0039475,5.04065169314528,5.037500300718985,11.10269749999879,15.306101450000428,0.0005037498312166526,28.93285,43.929,800,0,,,,,0.12999899999999975,nan,18.195521999999997,6.719788404999999
20,2,200.0,800,199.82466745375,19.643114026693393,171.853561,218.887056,800,199.82466745375,19.643114026693393,10000.00157875,4.196139376364975,4.193515969183651,9.869171250000724,13.796311250000196,0.0004193515307132422,26.70645,37.245,800,0,,,,,0.1899969999999982,nan,9.467484999999996,7.903933965
30,3,300.0,800,300.03508153625,23.051104212707145,264.5925609000001,343.699167,800,300.03508153625,23.051104212707145,10000.00235625,4.05741657195611,4.054879893638787,9.712520624999339,13.457643749999988,0.0004054878938207937,25.00939999999999,36.122,800,0,,,,,0.2800060000000002,9.820003,7.372634666666671,7.2971003450000005
40,4,400.0,800,400.041384075,23.046803781437255,374.41833965,437.496478,800,400.041384075,23.046803781437255,9999.9970225,4.408115742581354,4.405359808743614,10.315829750000102,13.113757950000434,0.0004405361120439888,26.366699999999984,41.05,800,0,,,,,0.19999999999999574,6.18,5.577294749999993,5.246173299999999
50,5,500.0,800,500.23563353625,23.75703046831286,468.604311,531.925865,800,500.23563353625,23.75703046831286,10000.0003225,4.626461445627606,4.6235690030531424,10.00859025000063,15.327663949999845,0.00046235688539430467,25.97305,46.072,800,0,,,,,0.2300030000000035,6.859999999999999,5.349455200000011,4.426455225
60,6,600.0,800,600.11730357,24.7795796873244,562.4602064,655.7165475,800,600.11730357,24.7795796873244,9999.99772,3.8234091068178375,3.8210187288993955,9.556620000000201,12.576444400000506,0.00038210196000918644,24.97995,39.033,800,0,,,,,0.23000199999999893,0.28001199999999926,3.5571833333333416,4.588360589999998
70,7,700.0,800,700.0806008325001,28.961677535107576,656.111626,749.97795475,800,700.0806008325001,28.961677535107576,9999.9969,4.314371137592498,4.311673812453821,10.185809999999945,15.297649999999775,0.00043116751490731176,26.562599999999996,33.594,800,0,,,,,0.24000499999999647,0.30000799999999117,3.8170457142857197,4.500407505000004
80,8,800.0,800,799.94588792625,32.791249183284656,749.99325,874.66649,800,799.94588792625,32.791249183284656,9999.99948125,4.104694282292783,4.102128046166794,9.356033125000156,12.670891250000693,0.0004102128258964697,25.153399999999998,40.538,800,0,,,,,0.24000300000000152,0.26000200000000007,3.5352352499999995,5.804432090000001
90,9,900.0,800,899.9841759075,35.68900782755366,843.4104261,968.413089,800,899.9841759075,35.68900782755366,10000.000675,5.86782959424171,5.864161053967993,13.969107499999698,20.745894999999706,0.0005864160658137149,28.852549999999997,45.687,800,0,,,,,0.2500029999999924,0.2800089999999926,2.9699233333333392,6.069644805000005
100,10,1000.0,800,999.8603476174999,40.104456568388926,937.132363,1062.4969245500001,800,999.8603476174999,40.104456568388926,10000.00314,5.394504839508354,5.3911322197104115,12.152109999999894,20.45926279999863,0.0005391130526895425,28.508999999999997,41.448,800,0,,,,,0.2500140000000073,0.32000200000000234,2.6725159000000076,6.158730540000001
