pwm_percent,step_index,target_rpm,samples,mean_raw_rpm,std_raw_rpm,p05_raw_rpm,p95_raw_rpm,clean_samples,clean_mean_raw_rpm,clean_std_raw_rpm,mean_period_us,std_period_us,rms_period_us,p95_abs_jitter_us,p99_abs_jitter_us,cv_period,p95_late_us,max_late_us,late_cycles,timing_outliers,intended_mode,intended_fifo,fifo_active,condition,rise_time_s,settling_time_s,overshoot_percent,steady_state_error_rpm
0,0,0.0,799,0.0,0.0,0.0,0.0,799,0.0,0.0,10000.00007259074,7.582255522881882,7.5775091965808565,11.816627409259997,32.59188740926056,0.0007577509141575157,81.94409999999999,155.643,799,0,,,,,nan,nan,nan,nan
10,1,100.0,800,100.2321922375,16.72395487419847,62.50531065,124.9984594,800,100.2321922375,16.72395487419847,10000.00335625,9.889663073708627,9.883480101504562,26.53852062499999,33.567203750000374,0.0009883476784362667,95.89369999999998,110.415,800,0,,,,,0.14000199999999907,9.980007000000002,20.229332,7.073896090000001
20,2,200.0,800,200.23267234125,20.15979827035284,171.8479813,219.02509984999998,800,200.23267234125,20.15979827035284,9999.9995125,6.302714915532591,6.2987744869414,11.289762500001316,29.368597499999687,0.0006298774794006671,82.05574999999999,120.455,800,0,,,,,0.25999900000000054,9.980003,9.862698499999993,8.15622841
30,3,300.0,799,300.000839106383,22.85658755110419,265.6091177,343.592325,799,300.000839106383,22.85658755110419,10000.001531914893,8.559251261153015,8.553893356865128,23.4639680851058,35.41597191489319,0.0008553892046481666,85.26299999999996,113.835,799,0,,,,,0.20999499999999927,9.729996999999997,5.911465999999999,7.654363335
40,4,400.0,800,400.1722113875,24.242307188549454,359.38941965,437.4888,800,400.1722113875,24.242307188549454,9999.99928,8.218831232306165,8.213692856541439,23.57934799999993,34.47387440000014,0.0008213693447927366,85.9232,113.652,800,0,,,,,0.21999999999999886,6.020000000000003,3.830078749999998,5.532912480000001
50,5,500.0,800,500.04130521624995,27.52165193974174,468.11634330000004,561.1538502999999,800,500.04130521624995,27.52165193974174,9999.99636125,8.068734013708628,8.063689478039725,21.392838750000536,34.96310402499996,0.0008063692412215802,83.86104999999998,120.503,800,0,,,,,0.2500050000000016,0.2700010000000006,3.457123999999999,4.819931510000003
60,6,600.0,799,600.0751091126408,29.35747094154277,561.837425,656.1147296,799,600.0751091126408,29.35747094154277,10000.025933667084,7.1464240800687255,7.141950574728902,13.897166332915845,32.0854436795993,0.0007141932053080082,83.34599999999999,115.775,799,0,,,,,0.24999400000000094,0.2799940000000021,3.5732763333333346,5.337663009999996
70,7,700.0,800,700.07605504,32.93308239557596,655.346081,749.969836,800,700.07605504,32.93308239557596,10000.001496249999,7.839138324431632,7.834237330939484,17.119453750001128,33.41289632499891,0.00078342361587419,83.37564999999998,119.654,800,0,,,,,0.2500009999999975,0.2700009999999935,2.5877865714285724,5.8889534249999995
80,8,800.0,800,799.9569007462501,36.13403141680765,748.214237,873.843206,800,799.9569007462501,36.13403141680765,9999.9951975,6.892658401937575,6.888349143371973,15.323397499999729,34.144677500000164,0.0006888352451503237,82.16004999999998,110.868,800,0,,,,,0.2299990000000065,0.25999900000000764,2.937501624999996,6.786539874999999
90,9,900.0,800,899.9993342125,38.88882546675904,842.5401772499999,968.68043905,800,899.9993342125,38.88882546675904,10000.00919875,7.302089890415489,7.297524657152482,18.8625288749993,32.425118749999854,0.0007297517944348163,82.9671,121.492,800,0,,,,,0.230007999999998,0.28000000000000114,2.5553818888888853,6.974125229999999
100,10,1000.0,799,999.9433580951189,36.18898360833287,936.939326,1062.41575,799,999.9433580951189,36.18898360833287,9999.985663329162,7.7377631688808135,7.732919498190907,18.18613667083822,33.44437679599557,0.0007732930584638947,82.6523,108.999,799,0,,,,,0.2299939999999907,0.2999939999999981,2.4754998999999995,2.5611704900000003
