pwm_percent,step_index,target_rpm,samples,mean_raw_rpm,std_raw_rpm,p05_raw_rpm,p95_raw_rpm,clean_samples,clean_mean_raw_rpm,clean_std_raw_rpm,mean_period_us,std_period_us,rms_period_us,p95_abs_jitter_us,p99_abs_jitter_us,cv_period,p95_late_us,max_late_us,late_cycles,timing_outliers,intended_mode,intended_fifo,fifo_active,condition,rise_time_s,settling_time_s,overshoot_percent,steady_state_error_rpm
0,0,0.0,798,0.0,0.0,0.0,0.0,798,0.0,0.0,9999.99915037594,1.8693526492937063,1.8681810085334827,4.213844736842474,8.077039624061252,0.00018681811672586498,21.59975,33.29,798,0,,,,,nan,nan,nan,nan
10,1,0.0,800,166.63554945875,15.90814159197477,140.62970535,187.4997,800,166.63554945875,15.90814159197477,9999.99623,1.491108062370727,1.4901758284175395,2.8365429999993443,7.426149999999816,0.00014901763902140384,19.6806,28.164,800,0,,,,,nan,nan,nan,nan
20,2,0.0,799,392.8989696633291,22.50574778234915,359.3678899,437.4723209,799,392.8989696633291,22.50574778234915,10000.000076345432,1.8493672332279139,1.8482095697446885,4.311723654568956,7.961623654568717,0.00018482095556344527,20.5228,32.516,799,0,,,,,nan,nan,nan,nan
30,3,0.0,800,626.3088302675001,28.069523627550357,593.5941404,687.41152975,800,626.3088302675001,28.069523627550357,10000.00220125,1.9985794794473508,1.9973299766809838,3.846781124999959,8.99637722499901,0.00019973295370188194,19.664149999999992,32.921,800,0,,,,,nan,nan,nan,nan
40,4,0.0,800,884.68476608625,31.889549310846512,812.488788,937.4766617,800,884.68476608625,31.889549310846512,10000.001694999999,1.5620302550276823,1.5610536808434294,3.2221949999989135,7.729668900000523,0.00015610534162448757,19.35305,31.767,800,0,,,,,nan,nan,nan,nan
50,5,0.0,800,1113.19284292125,40.37380217107162,1031.209473,1187.4489337999998,800,1113.19284292125,40.37380217107162,10000.00132875,2.9025658776358436,2.9007512067003294,3.0966712499994173,9.19383782500017,0.0002900750821263064,19.513250000000003,65.992,800,0,,,,,nan,nan,nan,nan
60,6,0.0,800,1325.63621391125,44.09029580984172,1249.98563125,1406.215688,800,1325.63621391125,44.09029580984172,9999.9975375,1.3294291381587569,1.3285979851308685,2.399112500000589,7.044753250001393,0.00013285983122982028,18.8902,29.197,800,0,,,,,nan,nan,nan,nan
70,7,0.0,800,1551.72997847625,55.87725843658623,1460.137525,1654.7293739,800,1551.72997847625,55.87725843658623,9999.9984225,3.4596230996285033,3.4574601590609513,2.706269749999046,8.022987499999488,0.0003457460704475377,19.355050000000002,76.323,800,0,,,,,nan,nan,nan,nan
80,8,0.0,800,1797.72856489,51.98782911969404,1749.66526735,1890.8848645,800,1797.72856489,51.98782911969404,9999.9939825,1.7976530095160668,1.7965291250614042,4.033384250000744,7.986847149999448,0.00017965302061234557,19.3157,29.667,800,0,,,,,nan,nan,nan,nan
90,9,0.0,799,2034.0496656057571,57.219286962364,1968.732478,2140.742848,799,2034.0496656057571,57.219286962364,10000.00023904881,1.4629806749630312,1.462064881023548,3.072139048809174,6.978670513141732,0.00014620648460730618,17.91919999999999,25.834,799,0,,,,,nan,nan,nan,nan
100,10,0.0,800,2209.07093934125,75.32184478858436,2093.3225229,2343.63888795,800,2209.07093934125,75.32184478858436,9999.9946325,1.6804859248513135,1.6794352927230765,3.5372675000007794,9.093799850000233,0.00016794361941604535,19.73515,28.986,800,0,,,,,nan,nan,nan,nan
