pwm_percent,step_index,target_rpm,samples,mean_raw_rpm,std_raw_rpm,p05_raw_rpm,p95_raw_rpm,clean_samples,clean_mean_raw_rpm,clean_std_raw_rpm,mean_period_us,std_period_us,rms_period_us,p95_abs_jitter_us,p99_abs_jitter_us,cv_period,p95_late_us,max_late_us,late_cycles,timing_outliers,intended_mode,intended_fifo,fifo_active,condition,rise_time_s,settling_time_s,overshoot_percent,steady_state_error_rpm
0,0,0.0,799,0.0,0.0,0.0,0.0,796,0.0,0.0,9999.987638297873,203.54233957675496,203.4149265191509,26.537061702126763,110.94225829786916,0.020341517797493474,99.11059999999999,3486.05,799,3,,,,,nan,nan,nan,nan
10,1,0.0,799,181.4701398560701,15.108444274414708,156.1590564,203.2661978,791,181.5617395992415,14.73599405479228,10000.00091239049,237.5011796155374,237.3525090659982,36.69188760951018,983.4311558948687,0.0237352487410183,115.54829999999995,3110.172,799,8,,,,,nan,nan,nan,nan
20,2,0.0,799,408.11846375344174,21.761914920311504,374.7488357,437.4955248,798,408.07555848746864,21.741721443890505,10000.02397747184,45.97664552486175,45.94786514925597,24.066081977470986,105.28969837296482,0.004594775497815586,86.78249999999998,1079.799,799,1,,,,,nan,nan,nan,nan
30,3,0.0,799,638.0087101351689,32.09583013622659,593.404105,673.2496575,796,638.0011058756281,32.071451145701076,10000.004475594493,160.93089390595586,160.83015468237147,28.64721952440593,90.86168440550335,0.016083008270134824,97.92029999999993,3117.54,799,3,,,,,nan,nan,nan,nan
40,4,0.0,800,891.0191362275,30.967956528860633,842.89105405,936.418156,799,891.1939910300375,30.589640264529645,10000.01507,101.49758697274143,101.43413114473647,24.10668700000059,102.70791000000017,0.01014339782837312,92.01079999999997,2119.384,800,1,,,,,nan,nan,nan,nan
50,5,0.0,800,1104.3955253699999,50.57427413058494,1030.7631308500002,1156.20872145,797,1105.3724300012548,46.95976012049463,9999.9994575,483.95479124347463,483.6522249174046,39.66320750000051,173.52926164999963,0.048365225115553925,95.27210000000001,9106.931,800,3,,,,,nan,nan,nan,nan
60,6,0.0,799,1324.0312421514393,46.05183430015538,1248.3145694,1375.7771605999997,797,1324.198616796738,45.98190572030468,10000.005877346683,293.81363872899163,293.6297178103559,32.775898122654105,199.82412225281456,0.029362954523409254,92.73909999999997,5150.016,799,2,,,,,nan,nan,nan,nan
70,7,0.0,799,1544.3576786220274,125.66774667988362,1436.0744497,1624.7465398999998,792,1547.5860348194444,113.88921935645708,10000.028949937421,339.6271994942923,339.4146002875472,43.60525994993592,834.6141919399241,0.0339413617687248,107.46759999999988,5193.482,799,7,,,,,nan,nan,nan,nan
80,8,0.0,799,1788.9942745682101,100.44987178766996,1654.524166,1876.12821,793,1789.2485125296341,92.84919890453916,9999.997224030038,268.95461671057245,268.786256996603,42.291024030037306,885.6510750688334,0.02687863316108813,101.3050999999999,4903.742,799,6,,,,,nan,nan,nan,nan
90,9,0.0,800,2031.6928450050002,137.3847446107838,1874.3356344,2156.2668693,786,2036.283815384224,125.28011224195967,9999.99935625,436.0964640371342,435.82381851874425,103.43367937499967,2984.628950874999,0.04358238465749044,123.63924999999992,5102.426,800,14,,,,,nan,nan,nan,nan
100,10,0.0,800,2189.7300463012502,154.08244181061337,2017.2385249000001,2343.053879,793,2193.0136573127365,148.60929209803567,9999.91175125,312.7161937330925,312.5206849964245,52.371826125000354,1824.201141249997,0.03125234429767434,107.22734999999996,3286.05,800,7,,,,,nan,nan,nan,nan
