SessionID,Timestamp,TargetLevel_mm,ToFCalculated_mm,ActualMeasured_mm,ToFRawAvg_mm,Error_mm
20260915_152910,2026-09-15 15:33:10,250,248,238,195,-10
20260915_152910,2026-09-15 15:34:10,200,198,194,245,-4
20260915_152910,2026-09-15 15:35:13,150,148,148,295,0
20260915_152910,2026-09-15 15:37:02,100,98,101,345,3
20260915_152910,2026-09-15 15:38:37,50,49,54,394,5
20260915_152910,2026-09-15 15:38:57,0,0,76,473,76
20260915_152910,2026-09-15 15:41:34,250,250,237,193,-13
20260915_160536,2026-09-15 16:17:28,250,255,2,181,-253
20260915_162944,2026-09-15 16:32:52,250,252,245,185,-7
20260915_162944,2026-09-15 16:34:17,200,198,197,239,-1
20260915_162944,2026-09-15 16:35:34,150,151,153,286,2
20260915_162944,2026-09-15 16:36:49,100,100,106,337,6
20260915_162944,2026-09-15 16:38:11,50,50,60,387,10
