SessionID,Timestamp,Event,SampleIndex,RawDistance_mm
20260915_160536,2026-09-15 16:05:40,Calibration_TankBottom,1,483
20260915_160536,2026-09-15 16:05:40,Calibration_TankBottom,2,482
20260915_160536,2026-09-15 16:05:40,Calibration_TankBottom,3,481
20260915_160536,2026-09-15 16:05:41,Calibration_TankBottom,4,483
20260915_160536,2026-09-15 16:05:41,Calibration_TankBottom,5,482
20260915_160536,2026-09-15 16:05:41,Calibration_TankBottom,6,482
20260915_160536,2026-09-15 16:05:41,Calibration_TankBottom,7,481
20260915_160536,2026-09-15 16:05:41,Calibration_TankBottom,8,479
20260915_160536,2026-09-15 16:05:42,Calibration_TankBottom,9,480
20260915_160536,2026-09-15 16:05:42,Calibration_TankBottom,10,481
20260915_160536,2026-09-15 16:05:42,Calibration_TankBottom,11,480
20260915_160536,2026-09-15 16:05:42,Calibration_TankBottom,12,481
20260915_160536,2026-09-15 16:05:42,Calibration_TankBottom,13,482
20260915_160536,2026-09-15 16:05:43,Calibration_TankBottom,14,482
20260915_160536,2026-09-15 16:05:43,Calibration_TankBottom,15,481
20260915_160536,2026-09-15 16:05:43,Calibration_TankBottom,16,483
20260915_160536,2026-09-15 16:05:43,Calibration_TankBottom,17,483
20260915_160536,2026-09-15 16:05:43,Calibration_TankBottom,18,482
20260915_160536,2026-09-15 16:05:44,Calibration_TankBottom,19,482
20260915_160536,2026-09-15 16:05:44,Calibration_TankBottom,20,482
20260915_160536,2026-09-15 16:05:44,Calibration_TankBottom,21,481
20260915_160536,2026-09-15 16:05:44,Calibration_TankBottom,22,482
20260915_160536,2026-09-15 16:05:44,Calibration_TankBottom,23,482
20260915_160536,2026-09-15 16:05:45,Calibration_TankBottom,24,481
20260915_160536,2026-09-15 16:05:45,Calibration_TankBottom,25,480
20260915_160536,2026-09-15 16:05:45,Calibration_TankBottom,26,480
20260915_160536,2026-09-15 16:05:45,Calibration_TankBottom,27,481
20260915_160536,2026-09-15 16:05:45,Calibration_TankBottom,28,480
20260915_160536,2026-09-15 16:05:46,Calibration_TankBottom,29,480
20260915_160536,2026-09-15 16:05:46,Calibration_TankBottom,30,480
20260915_160536,2026-09-15 16:05:46,Calibration_TankBottom,31,481
20260915_160536,2026-09-15 16:05:46,Calibration_TankBottom,32,481
20260915_160536,2026-09-15 16:05:46,Calibration_TankBottom,33,481
20260915_160536,2026-09-15 16:05:47,Calibration_TankBottom,34,480
20260915_160536,2026-09-15 16:05:47,Calibration_TankBottom,35,480
20260915_160536,2026-09-15 16:05:47,Calibration_TankBottom,36,480
20260915_160536,2026-09-15 16:05:47,Calibration_TankBottom,37,482
20260915_160536,2026-09-15 16:05:47,Calibration_TankBottom,38,483
20260915_160536,2026-09-15 16:05:48,Calibration_TankBottom,39,482
20260915_160536,2026-09-15 16:05:48,Calibration_TankBottom,40,482
20260915_160536,2026-09-15 16:05:48,Calibration_TankBottom,41,481
20260915_160536,2026-09-15 16:05:48,Calibration_TankBottom,42,481
20260915_160536,2026-09-15 16:05:48,Calibration_TankBottom,43,482
20260915_160536,2026-09-15 16:05:49,Calibration_TankBottom,44,482
20260915_160536,2026-09-15 16:05:49,Calibration_TankBottom,45,483
20260915_160536,2026-09-15 16:05:49,Calibration_TankBottom,46,482
20260915_160536,2026-09-15 16:05:49,Calibration_TankBottom,47,482
20260915_160536,2026-09-15 16:05:49,Calibration_TankBottom,48,481
20260915_160536,2026-09-15 16:05:50,Calibration_TankBottom,49,482
20260915_160536,2026-09-15 16:05:50,Calibration_TankBottom,50,482
20260915_160536,2026-09-15 16:05:50,Calibration_TankBottom,51,482
20260915_160536,2026-09-15 16:05:50,Calibration_TankBottom,52,482
20260915_160536,2026-09-15 16:05:50,Calibration_TankBottom,53,482
20260915_160536,2026-09-15 16:05:51,Calibration_TankBottom,54,482
20260915_160536,2026-09-15 16:05:51,Calibration_TankBottom,55,481
20260915_160536,2026-09-15 16:05:51,Calibration_TankBottom,56,481
20260915_160536,2026-09-15 16:05:51,Calibration_TankBottom,57,482
20260915_160536,2026-09-15 16:05:51,Calibration_TankBottom,58,482
20260915_160536,2026-09-15 16:05:52,Calibration_TankBottom,59,480
20260915_160536,2026-09-15 16:05:52,Calibration_TankBottom,60,482
20260915_160536,2026-09-15 16:05:52,Calibration_TankBottom,61,482
20260915_160536,2026-09-15 16:05:52,Calibration_TankBottom,62,481
20260915_160536,2026-09-15 16:05:52,Calibration_TankBottom,63,481
20260915_160536,2026-09-15 16:05:53,Calibration_TankBottom,64,481
20260915_160536,2026-09-15 16:05:53,Calibration_TankBottom,65,482
20260915_160536,2026-09-15 16:05:53,Calibration_TankBottom,66,481
20260915_160536,2026-09-15 16:05:53,Calibration_TankBottom,67,480
20260915_160536,2026-09-15 16:05:53,Calibration_TankBottom,68,480
20260915_160536,2026-09-15 16:05:54,Calibration_TankBottom,69,481
20260915_160536,2026-09-15 16:05:54,Calibration_TankBottom,70,482
20260915_160536,2026-09-15 16:05:54,Calibration_TankBottom,71,480
20260915_160536,2026-09-15 16:05:54,Calibration_TankBottom,72,479
20260915_160536,2026-09-15 16:05:54,Calibration_TankBottom,73,480
20260915_160536,2026-09-15 16:05:55,Calibration_TankBottom,74,480
20260915_160536,2026-09-15 16:05:55,Calibration_TankBottom,75,480
20260915_160536,2026-09-15 16:05:55,Calibration_TankBottom,76,480
20260915_160536,2026-09-15 16:05:55,Calibration_TankBottom,77,480
20260915_160536,2026-09-15 16:05:56,Calibration_TankBottom,78,481
20260915_160536,2026-09-15 16:05:56,Calibration_TankBottom,79,480
20260915_160536,2026-09-15 16:05:56,Calibration_TankBottom,80,480
20260915_160536,2026-09-15 16:05:56,Calibration_TankBottom,81,480
20260915_160536,2026-09-15 16:05:56,Calibration_TankBottom,82,480
20260915_160536,2026-09-15 16:05:57,Calibration_TankBottom,83,481
20260915_160536,2026-09-15 16:05:57,Calibration_TankBottom,84,480
20260915_160536,2026-09-15 16:05:57,Calibration_TankBottom,85,481
20260915_160536,2026-09-15 16:05:57,Calibration_TankBottom,86,480
20260915_160536,2026-09-15 16:05:57,Calibration_TankBottom,87,481
20260915_160536,2026-09-15 16:05:58,Calibration_TankBottom,88,482
20260915_160536,2026-09-15 16:05:58,Calibration_TankBottom,89,482
20260915_160536,2026-09-15 16:05:58,Calibration_TankBottom,90,481
20260915_160536,2026-09-15 16:05:58,Calibration_TankBottom,91,481
20260915_160536,2026-09-15 16:05:58,Calibration_TankBottom,92,483
20260915_160536,2026-09-15 16:05:59,Calibration_TankBottom,93,481
20260915_160536,2026-09-15 16:05:59,Calibration_TankBottom,94,482
20260915_160536,2026-09-15 16:05:59,Calibration_TankBottom,95,482
20260915_160536,2026-09-15 16:05:59,Calibration_TankBottom,96,483
20260915_160536,2026-09-15 16:05:59,Calibration_TankBottom,97,482
20260915_160536,2026-09-15 16:06:00,Calibration_TankBottom,98,482
20260915_160536,2026-09-15 16:06:00,Calibration_TankBottom,99,482
20260915_160536,2026-09-15 16:06:00,Calibration_TankBottom,100,482
20260915_160536,2026-09-15 16:06:15,Calibration_FloaterThickness,1,440
20260915_160536,2026-09-15 16:06:15,Calibration_FloaterThickness,2,440
20260915_160536,2026-09-15 16:06:15,Calibration_FloaterThickness,3,438
20260915_160536,2026-09-15 16:06:15,Calibration_FloaterThickness,4,438
20260915_160536,2026-09-15 16:06:15,Calibration_FloaterThickness,5,436
20260915_160536,2026-09-15 16:06:16,Calibration_FloaterThickness,6,436
20260915_160536,2026-09-15 16:06:16,Calibration_FloaterThickness,7,437
20260915_160536,2026-09-15 16:06:16,Calibration_FloaterThickness,8,436
20260915_160536,2026-09-15 16:06:16,Calibration_FloaterThickness,9,437
20260915_160536,2026-09-15 16:06:16,Calibration_FloaterThickness,10,437
20260915_160536,2026-09-15 16:06:17,Calibration_FloaterThickness,11,438
20260915_160536,2026-09-15 16:06:17,Calibration_FloaterThickness,12,436
20260915_160536,2026-09-15 16:06:17,Calibration_FloaterThickness,13,435
20260915_160536,2026-09-15 16:06:17,Calibration_FloaterThickness,14,437
20260915_160536,2026-09-15 16:06:17,Calibration_FloaterThickness,15,437
20260915_160536,2026-09-15 16:06:18,Calibration_FloaterThickness,16,437
20260915_160536,2026-09-15 16:06:18,Calibration_FloaterThickness,17,437
20260915_160536,2026-09-15 16:06:18,Calibration_FloaterThickness,18,437
20260915_160536,2026-09-15 16:06:18,Calibration_FloaterThickness,19,438
20260915_160536,2026-09-15 16:06:18,Calibration_FloaterThickness,20,438
20260915_160536,2026-09-15 16:06:19,Calibration_FloaterThickness,21,437
20260915_160536,2026-09-15 16:06:19,Calibration_FloaterThickness,22,437
20260915_160536,2026-09-15 16:06:19,Calibration_FloaterThickness,23,437
20260915_160536,2026-09-15 16:06:19,Calibration_FloaterThickness,24,438
20260915_160536,2026-09-15 16:06:19,Calibration_FloaterThickness,25,437
20260915_160536,2026-09-15 16:06:20,Calibration_FloaterThickness,26,438
20260915_160536,2026-09-15 16:06:20,Calibration_FloaterThickness,27,438
20260915_160536,2026-09-15 16:06:20,Calibration_FloaterThickness,28,437
20260915_160536,2026-09-15 16:06:20,Calibration_FloaterThickness,29,437
20260915_160536,2026-09-15 16:06:20,Calibration_FloaterThickness,30,436
20260915_160536,2026-09-15 16:06:21,Calibration_FloaterThickness,31,437
20260915_160536,2026-09-15 16:06:21,Calibration_FloaterThickness,32,437
20260915_160536,2026-09-15 16:06:21,Calibration_FloaterThickness,33,437
20260915_160536,2026-09-15 16:06:21,Calibration_FloaterThickness,34,436
20260915_160536,2026-09-15 16:06:21,Calibration_FloaterThickness,35,437
20260915_160536,2026-09-15 16:06:22,Calibration_FloaterThickness,36,436
20260915_160536,2026-09-15 16:06:22,Calibration_FloaterThickness,37,437
20260915_160536,2026-09-15 16:06:22,Calibration_FloaterThickness,38,436
20260915_160536,2026-09-15 16:06:22,Calibration_FloaterThickness,39,437
20260915_160536,2026-09-15 16:06:22,Calibration_FloaterThickness,40,437
20260915_160536,2026-09-15 16:06:23,Calibration_FloaterThickness,41,436
20260915_160536,2026-09-15 16:06:23,Calibration_FloaterThickness,42,437
20260915_160536,2026-09-15 16:06:23,Calibration_FloaterThickness,43,437
20260915_160536,2026-09-15 16:06:23,Calibration_FloaterThickness,44,436
20260915_160536,2026-09-15 16:06:23,Calibration_FloaterThickness,45,436
20260915_160536,2026-09-15 16:06:24,Calibration_FloaterThickness,46,437
20260915_160536,2026-09-15 16:06:24,Calibration_FloaterThickness,47,437
20260915_160536,2026-09-15 16:06:24,Calibration_FloaterThickness,48,437
20260915_160536,2026-09-15 16:06:24,Calibration_FloaterThickness,49,436
20260915_160536,2026-09-15 16:06:24,Calibration_FloaterThickness,50,436
20260915_160536,2026-09-15 16:06:25,Calibration_FloaterThickness,51,436
20260915_160536,2026-09-15 16:06:25,Calibration_FloaterThickness,52,437
20260915_160536,2026-09-15 16:06:25,Calibration_FloaterThickness,53,436
20260915_160536,2026-09-15 16:06:25,Calibration_FloaterThickness,54,438
20260915_160536,2026-09-15 16:06:25,Calibration_FloaterThickness,55,438
20260915_160536,2026-09-15 16:06:26,Calibration_FloaterThickness,56,436
20260915_160536,2026-09-15 16:06:26,Calibration_FloaterThickness,57,437
20260915_160536,2026-09-15 16:06:26,Calibration_FloaterThickness,58,437
20260915_160536,2026-09-15 16:06:26,Calibration_FloaterThickness,59,437
20260915_160536,2026-09-15 16:06:26,Calibration_FloaterThickness,60,437
20260915_160536,2026-09-15 16:06:27,Calibration_FloaterThickness,61,437
20260915_160536,2026-09-15 16:06:27,Calibration_FloaterThickness,62,436
20260915_160536,2026-09-15 16:06:27,Calibration_FloaterThickness,63,436
20260915_160536,2026-09-15 16:06:27,Calibration_FloaterThickness,64,437
20260915_160536,2026-09-15 16:06:27,Calibration_FloaterThickness,65,438
20260915_160536,2026-09-15 16:06:28,Calibration_FloaterThickness,66,437
20260915_160536,2026-09-15 16:06:28,Calibration_FloaterThickness,67,438
20260915_160536,2026-09-15 16:06:28,Calibration_FloaterThickness,68,438
20260915_160536,2026-09-15 16:06:28,Calibration_FloaterThickness,69,438
20260915_160536,2026-09-15 16:06:29,Calibration_FloaterThickness,70,438
20260915_160536,2026-09-15 16:06:29,Calibration_FloaterThickness,71,437
20260915_160536,2026-09-15 16:06:29,Calibration_FloaterThickness,72,437
20260915_160536,2026-09-15 16:06:29,Calibration_FloaterThickness,73,437
20260915_160536,2026-09-15 16:06:29,Calibration_FloaterThickness,74,437
20260915_160536,2026-09-15 16:06:30,Calibration_FloaterThickness,75,437
20260915_160536,2026-09-15 16:06:30,Calibration_FloaterThickness,76,438
20260915_160536,2026-09-15 16:06:30,Calibration_FloaterThickness,77,436
20260915_160536,2026-09-15 16:06:30,Calibration_FloaterThickness,78,437
20260915_160536,2026-09-15 16:06:30,Calibration_FloaterThickness,79,437
20260915_160536,2026-09-15 16:06:31,Calibration_FloaterThickness,80,436
20260915_160536,2026-09-15 16:06:31,Calibration_FloaterThickness,81,438
20260915_160536,2026-09-15 16:06:31,Calibration_FloaterThickness,82,438
20260915_160536,2026-09-15 16:06:31,Calibration_FloaterThickness,83,437
20260915_160536,2026-09-15 16:06:31,Calibration_FloaterThickness,84,437
20260915_160536,2026-09-15 16:06:32,Calibration_FloaterThickness,85,439
20260915_160536,2026-09-15 16:06:32,Calibration_FloaterThickness,86,437
20260915_160536,2026-09-15 16:06:32,Calibration_FloaterThickness,87,438
20260915_160536,2026-09-15 16:06:32,Calibration_FloaterThickness,88,437
20260915_160536,2026-09-15 16:06:32,Calibration_FloaterThickness,89,436
20260915_160536,2026-09-15 16:06:33,Calibration_FloaterThickness,90,436
20260915_160536,2026-09-15 16:06:33,Calibration_FloaterThickness,91,436
20260915_160536,2026-09-15 16:06:33,Calibration_FloaterThickness,92,436
20260915_160536,2026-09-15 16:06:33,Calibration_FloaterThickness,93,437
20260915_160536,2026-09-15 16:06:33,Calibration_FloaterThickness,94,437
20260915_160536,2026-09-15 16:06:34,Calibration_FloaterThickness,95,436
20260915_160536,2026-09-15 16:06:34,Calibration_FloaterThickness,96,436
20260915_160536,2026-09-15 16:06:34,Calibration_FloaterThickness,97,437
20260915_160536,2026-09-15 16:06:34,Calibration_FloaterThickness,98,435
20260915_160536,2026-09-15 16:06:34,Calibration_FloaterThickness,99,437
20260915_160536,2026-09-15 16:06:35,Calibration_FloaterThickness,100,437
20260915_160536,2026-09-15 16:08:14,DrainExp_InitialMeasurement,1,184
20260915_160536,2026-09-15 16:08:14,DrainExp_InitialMeasurement,2,183
20260915_160536,2026-09-15 16:08:15,DrainExp_InitialMeasurement,3,184
20260915_160536,2026-09-15 16:08:15,DrainExp_InitialMeasurement,4,182
20260915_160536,2026-09-15 16:08:15,DrainExp_InitialMeasurement,5,181
20260915_160536,2026-09-15 16:08:15,DrainExp_InitialMeasurement,6,182
20260915_160536,2026-09-15 16:08:15,DrainExp_InitialMeasurement,7,181
20260915_160536,2026-09-15 16:08:16,DrainExp_InitialMeasurement,8,182
20260915_160536,2026-09-15 16:08:16,DrainExp_InitialMeasurement,9,182
