SessionID,Iteration,TargetLevel_mm,ToFAvg_mm,DistFromZero_mm,CalculatedFluid_mm,PhysicalIndex,PhysicalMeasure_mm
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
20260922_172129,1,50,356.92,43.08,56.08,1,51
20260922_172129,1,50,356.92,43.08,56.08,2,51
20260922_172129,1,50,356.92,43.08,56.08,3,51
20260922_172129,1,50,356.92,43.08,56.08,4,51
20260922_172129,1,50,356.92,43.08,56.08,5,51
20260922_172129,2,50,354.86,45.14,58.14,1,56
20260922_172129,2,50,354.86,45.14,58.14,2,56
20260922_172129,2,50,354.86,45.14,58.14,3,56
20260922_172129,2,50,354.86,45.14,58.14,4,56
20260922_172129,2,50,354.86,45.14,58.14,5,56
20260922_172129,3,50,358.71,41.29,54.29,1,52
20260922_172129,3,50,358.71,41.29,54.29,2,52
20260922_172129,3,50,358.71,41.29,54.29,3,52
20260922_172129,3,50,358.71,41.29,54.29,4,52
20260922_172129,3,50,358.71,41.29,54.29,5,52
20260922_172129,4,50,358.35,41.65,54.65,1,54
20260922_172129,4,50,358.35,41.65,54.65,2,54
20260922_172129,4,50,358.35,41.65,54.65,3,54
20260922_172129,4,50,358.35,41.65,54.65,4,54
20260922_172129,4,50,358.35,41.65,54.65,5,54
20260922_172129,5,50,357.13,42.87,55.87,1,55
20260922_172129,5,50,357.13,42.87,55.87,2,55
20260922_172129,5,50,357.13,42.87,55.87,3,55
20260922_172129,5,50,357.13,42.87,55.87,4,55
20260922_172129,5,50,357.13,42.87,55.87,5,55
20260922_191215,1,100,306.13,93.87,108.87,1,101
20260922_191215,1,100,306.13,93.87,108.87,2,102
20260922_191215,1,100,306.13,93.87,108.87,3,102
20260922_191215,1,100,306.13,93.87,108.87,4,102
20260922_191215,1,100,306.13,93.87,108.87,5,102
20260922_191215,2,100,311.97,88.03,103.03,1,98
20260922_191215,2,100,311.97,88.03,103.03,2,98
20260922_191215,2,100,311.97,88.03,103.03,3,98
20260922_191215,2,100,311.97,88.03,103.03,4,98
20260922_191215,2,100,311.97,88.03,103.03,5,98
20260922_191215,3,100,310.92,89.08,104.08,1,99
20260922_191215,3,100,310.92,89.08,104.08,2,99
20260922_191215,3,100,310.92,89.08,104.08,3,99
20260922_191215,3,100,310.92,89.08,104.08,4,99
20260922_191215,3,100,310.92,89.08,104.08,5,99
20260922_191215,4,100,309.75,90.25,105.25,1,100
20260922_191215,4,100,309.75,90.25,105.25,2,100
20260922_191215,4,100,309.75,90.25,105.25,3,100
20260922_191215,4,100,309.75,90.25,105.25,4,100
20260922_191215,4,100,309.75,90.25,105.25,5,100
20260922_191215,5,100,308.29,91.71,106.71,1,99
