Session_ID,Test_Number,Trial_Number,Target_Distance_mm,Sensor_Avg_mm,Absolute_Error_mm,Min_Read_mm,Max_Read_mm,Valid_Samples,Target_Samples,Calibrated_Reading_mm,Calibrated_Error_mm
20260717_143902,1,1,50,56,6,55,58,10,10,44.61,-5.39
20260717_143902,1,2,50,59,9,57,61,10,10,47.46,-2.54
20260717_143902,1,3,50,57,7,56,59,10,10,45.56,-4.44
20260717_143902,1,4,50,57,7,54,60,10,10,45.56,-4.44
20260717_143902,1,5,50,57,7,57,59,10,10,45.56,-4.44
20260717_143902,2,1,100,110,10,109,111,10,10,95.94,-4.06
20260717_143902,2,2,100,110,10,109,113,10,10,95.94,-4.06
20260717_143902,2,3,100,111,11,111,112,10,10,96.89,-3.11
20260717_143902,2,4,100,110,10,110,112,10,10,95.94,-4.06
20260717_143902,2,5,100,111,11,110,113,10,10,96.89,-3.11
20260717_143902,3,1,150,160,10,160,161,10,10,143.47,-6.53
20260717_143902,3,2,150,161,11,161,163,10,10,144.42,-5.58
20260717_143902,3,3,150,161,11,161,162,10,10,144.42,-5.58
20260717_143902,3,4,150,163,13,162,164,10,10,146.32,-3.68
20260717_143902,3,5,150,161,11,160,162,10,10,144.42,-5.58
20260717_143902,4,1,200,217,17,217,220,10,10,197.65,-2.35
20260717_143902,4,2,200,217,17,216,220,10,10,197.65,-2.35
20260717_143902,4,3,200,217,17,216,219,10,10,197.65,-2.35
20260717_143902,4,4,200,218,18,217,220,10,10,198.61,-1.39
20260717_143902,4,5,200,215,15,215,217,10,10,195.75,-4.25
20260717_143902,5,1,250,273,23,272,276,10,10,250.89,0.89
20260717_143902,5,2,250,271,21,271,273,10,10,248.99,-1.01
20260717_143902,5,3,250,274,24,273,275,10,10,251.84,1.84
20260717_143902,5,4,250,270,20,269,273,10,10,248.04,-1.96
20260717_143902,5,5,250,272,22,270,274,10,10,249.94,-0.06
20260717_143902,6,1,300,324,24,323,327,10,10,299.37,-0.63
20260717_143902,6,2,300,323,23,323,324,10,10,298.42,-1.58
20260717_143902,6,3,300,323,23,322,325,10,10,298.42,-1.58
20260717_143902,6,4,300,324,24,323,326,10,10,299.37,-0.63
20260717_143902,6,5,300,325,25,324,327,10,10,300.32,0.32
20260717_143902,7,1,350,377,27,376,379,10,10,349.75,-0.25
20260717_143902,7,2,350,376,26,375,378,10,10,348.80,-1.20
20260717_143902,7,3,350,377,27,375,378,10,10,349.75,-0.25
20260717_143902,7,4,350,378,28,377,380,10,10,350.70,0.70
20260717_143902,7,5,350,378,28,377,380,10,10,350.70,0.70
20260717_143902,8,1,400,428,28,427,430,10,10,398.23,-1.77
20260717_143902,8,2,400,428,28,428,429,10,10,398.23,-1.77
20260717_143902,8,3,400,427,27,427,429,10,10,397.27,-2.73
20260717_143902,8,4,400,428,28,427,429,10,10,398.23,-1.77
20260717_143902,8,5,400,429,29,427,431,10,10,399.18,-0.82
20260717_143902,9,1,450,479,29,477,482,10,10,446.70,-3.30
20260717_143902,9,2,450,479,29,477,482,10,10,446.70,-3.30
20260717_143902,9,3,450,343,-107,101,481,8,10,317.43,-132.57
20260717_143902,9,4,450,478,28,477,481,10,10,445.75,-4.25
20260717_143902,9,5,450,477,27,476,478,10,10,444.80,-5.20
20260717_143902,10,1,450,479,29,478,481,10,10,446.70,-3.30
20260717_143902,10,2,450,479,29,478,481,10,10,446.70,-3.30
20260717_143902,10,3,450,478,28,477,482,10,10,445.75,-4.25
20260717_143902,10,4,450,479,29,478,485,10,10,446.70,-3.30
20260717_143902,10,5,450,479,29,478,480,10,10,446.70,-3.30
20260717_143902,11,1,500,531,31,530,532,10,10,496.13,-3.87
20260717_143902,11,2,500,531,31,530,535,10,10,496.13,-3.87
20260717_143902,11,3,500,533,33,531,535,10,10,498.04,-1.96
20260717_143902,11,4,500,532,32,529,536,10,10,497.08,-2.92
20260717_143902,11,5,500,532,32,531,535,10,10,497.08,-2.92
