Session_ID,Test_Number,Trial_Number,Target_Dist_To_Water_mm,Raw_Dist_To_Floater_mm,Raw_Dist_To_Water_mm,Absolute_Error_mm,Min_Read_mm,Max_Read_mm,Valid_Samples,Target_Samples,Target_Water_Dist,Actual_Water_Dist
20260902_170754,1,1,422,395,418,-4,395,397,10,10,50,57
20260902_170754,1,2,422,396,419,-3,395,398,10,10,50,56
20260902_170754,1,3,422,400,423,1,397,404,10,10,50,49
20260902_170754,1,4,422,397,420,-2,395,400,10,10,50,54
20260902_170754,1,5,422,398,421,-1,397,402,10,10,50,53
20260902_170754,2,1,372,346,369,-3,344,349,10,10,100,105
20260902_170754,2,2,372,347,370,-2,346,350,10,10,100,103
20260902_170754,2,3,372,348,371,-1,345,350,10,10,100,100
20260902_170754,2,4,372,347,370,-2,345,350,10,10,100,102
20260902_170754,2,5,372,346,369,-3,344,349,10,10,100,104
20260902_170754,3,1,322,298,321,-1,296,301,10,10,150,150
20260902_170754,3,2,322,296,319,-3,296,299,10,10,150,150
20260902_170754,3,3,322,297,320,-2,296,300,10,10,150,151
20260902_170754,3,4,322,297,320,-2,295,301,10,10,150,149
20260902_170754,3,5,322,296,319,-3,295,300,10,10,150,150
20260902_170754,4,1,272,247,270,-2,245,250,10,10,200,196
20260902_170754,4,2,272,248,271,-1,246,250,10,10,200,195
20260902_170754,4,3,272,248,271,-1,244,250,10,10,200,196
20260902_170754,4,4,272,248,271,-1,245,252,10,10,200,195
20260902_170754,4,5,272,248,271,-1,246,251,10,10,200,196
20260902_170754,5,1,222,199,222,0,197,201,10,10,250,240
20260902_170754,5,2,222,196,219,-3,195,199,10,10,250,242
20260902_170754,5,3,222,198,221,-1,196,199,10,10,250,241
20260902_170754,5,4,222,198,221,-1,197,199,10,10,250,241
20260902_170754,5,5,222,201,224,2,199,203,10,10,250,237
20260902_170754,4,1,272,247,270,-2,245,250,10,10,200,196
20260902_170754,4,2,272,248,271,-1,246,250,10,10,200,195
20260902_170754,4,3,272,248,271,-1,244,250,10,10,200,196
20260902_170754,4,4,272,248,271,-1,245,252,10,10,200,195
20260902_170754,4,5,272,248,271,-1,246,251,10,10,200,196
20260902_170754,5,1,222,199,222,0,197,201,10,10,250,240
20260902_170754,5,2,222,196,219,-3,195,199,10,10,250,242
20260902_170754,5,3,222,198,221,-1,196,199,10,10,250,241
20260902_170754,5,4,222,198,221,-1,197,199,10,10,250,241
20260902_170754,5,5,222,201,224,2,199,203,10,10,250,237
