pwm_percent,step_index,target_rpm,samples,mean_raw_rpm,std_raw_rpm,p05_raw_rpm,p95_raw_rpm,clean_samples,clean_mean_raw_rpm,clean_std_raw_rpm,mean_period_us,std_period_us,p95_late_us,max_late_us,late_cycles,timing_outliers,rise_time_s,settling_time_s,overshoot_percent,steady_state_error_rpm
0,0,0.0,798,0.0,0.0,0.0,0.0,798,0.0,0.0,10000.00805263158,26.577073131188897,56.53769999999999,400.643,798,0,nan,nan,nan,nan
10,1,0.0,799,198.12386581476846,15.09927275821394,185.72147660000002,218.7498853,799,198.12386581476846,15.09927275821394,10000.011831038799,18.493048939816894,38.600499999999954,231.582,799,0,nan,nan,nan,nan
20,2,0.0,799,460.48617737797247,23.56460470833037,421.84372,499.9029688,799,460.48617737797247,23.56460470833037,10000.008190237797,11.09612934156624,39.20769999999998,119.766,799,0,nan,nan,nan,nan
30,3,0.0,800,717.38463880625,30.72768948981697,656.084011,749.986575,800,717.38463880625,30.72768948981697,10000.003535,10.906340115830663,43.167799999999986,102.921,800,0,nan,nan,nan,nan
40,4,0.0,800,975.0986630812499,40.00976808161348,905.9976657000001,1029.692487,800,975.0986630812499,40.00976808161348,9999.9765625,36.10505049948768,41.703999999999986,480.913,800,0,nan,nan,nan,nan
50,5,0.0,800,1231.74507802875,42.015238370455414,1154.875006,1281.2407631,800,1231.74507802875,42.015238370455414,9999.99039625,10.282273199147815,40.276999999999965,86.147,800,0,nan,nan,nan,nan
60,6,0.0,800,1476.36689261625,63.46487327036085,1373.705146,1549.826567,800,1476.36689261625,63.46487327036085,10000.01390375,18.571010278939067,47.83064999999996,227.83,800,0,nan,nan,nan,nan
70,7,0.0,799,1713.5615781627034,62.820748904753046,1592.3858903999999,1784.285605,799,1713.5615781627034,62.820748904753046,10000.019538172715,16.27239149543435,48.74579999999984,156.38,799,0,nan,nan,nan,nan
80,8,0.0,800,1993.8202691737501,85.6108674875656,1872.55789405,2094.372971,800,1993.8202691737501,85.6108674875656,9999.9622875,15.76073139189148,48.21184999999999,161.251,800,0,nan,nan,nan,nan
90,9,0.0,800,2256.1231131125,87.14772049846462,2091.8853453499996,2374.848247,798,2255.800997453634,86.51011446775603,10000.01216125,37.13802632052461,61.17024999999995,570.821,800,2,nan,nan,nan,nan
100,10,0.0,799,2421.767112170213,136.67638925297015,2228.6997199,2560.638416,799,2421.767112170213,136.67638925297015,10000.012319148937,26.075698776037974,47.93759999999999,421.313,799,0,nan,nan,nan,nan
