pwm_percent,step_index,target_rpm,samples,mean_raw_rpm,std_raw_rpm,p05_raw_rpm,p95_raw_rpm,clean_samples,clean_mean_raw_rpm,clean_std_raw_rpm,mean_period_us,std_period_us,p95_late_us,max_late_us,late_cycles,timing_outliers,rise_time_s,settling_time_s,overshoot_percent,steady_state_error_rpm
0,0,0.0,799,0.0,0.0,0.0,0.0,799,0.0,0.0,9999.967028785983,10.878742230341112,45.72929999999998,102.821,799,0,nan,nan,nan,nan
10,1,250.0,800,250.00450097,19.000353642014627,218.64262390000002,281.232732,800,250.00450097,19.000353642014627,9999.9993625,8.275516589592746,29.42499999999997,124.285,800,0,0.1300050000000006,9.180000999999999,10.064047200000005,4.1835534249999995
20,2,500.0,800,500.04100742,26.86423339128431,468.452158,531.3417205,800,500.04100742,26.86423339128431,9999.998837500001,5.863073477865686,25.072349999999997,52.879,800,0,0.20000699999999938,8.530002,8.341326800000001,5.512915469999999
30,3,750.0,799,750.0408858060075,37.53274574513364,687.476715,811.9358509,799,750.0408858060075,37.53274574513364,10000.002505632041,6.513635674791416,24.25609999999999,67.387,799,0,0.1899919999999966,5.119993000000001,6.999581866666661,4.801576980000002
40,4,1000.0,800,1000.04864546875,55.83629875367484,936.33177185,1062.5523118,800,1000.04864546875,55.83629875367484,9999.9977675,5.942568856076073,20.09665,83.805,800,0,0.19000299999999726,7.479999999999997,7.5535444000000105,7.38081398
50,5,1250.0,800,1250.2930803375,61.75911127937498,1156.111613,1342.7618281500002,800,1250.2930803375,61.75911127937498,9999.964653750001,6.673055324254515,33.52074999999996,77.846,800,0,0.22999999999999687,1.5400199999999984,4.270480960000005,10.817818844999998
60,6,1500.0,800,1500.2381667225,69.88132658221527,1402.68633245,1593.6148062,800,1500.2381667225,69.88132658221527,10000.00467375,4.061831602216779,18.898149999999994,41.994,800,0,0.22000599999999793,9.420000000000002,4.948763266666674,15.150548754999997
70,7,1750.0,799,1750.2743794518149,90.86473386333668,1623.953705,1874.8293901,799,1750.2743794518149,90.86473386333668,9999.99834292866,3.83342699766316,18.916199999999996,32.296,799,0,0.23999799999999993,9.789997,5.7076158857142865,17.075619385000003
80,8,2000.0,799,2001.0435423729662,110.38766916925859,1857.0022008,2124.976732,799,2001.0435423729662,110.38766916925859,9999.999359198999,4.146492197175863,18.6115,35.019,799,0,0.240003999999999,nan,6.168002299999989,18.226222330000006
90,9,2250.0,800,2248.8150648524997,102.28534209305734,2093.121952,2405.056371,800,2248.8150648524997,102.28534209305734,10000.00189,4.1165192649827045,19.990799999999986,40.827,800,0,0.0,6.180003999999997,7.612597022222224,17.832777075000003
100,10,2500.0,800,2432.0508606724998,97.76562558622429,2278.8521017,2562.1914865500003,800,2432.0508606724998,97.76562558622429,10000.00214375,3.770663619742901,19.440499999999982,35.126,800,0,0.28999999999999204,8.360007999999993,3.2609852800000048,69.05073987
